title,year,infobox,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length
Top Banana,1954,"{'Directed by': ['Alfred E. Green', '', ''], 'Written by': ['Gene Towne', '', ''], 'Based on': [' (stage musical)', 'by Johnny Mercer and', 'Hy S. Kraft', '', ''], 'Produced by': ['Albert Zugsmith', '', ''], 'Starring': ['Phil Silvers', '', ''], 'Cinematography': ['William Bradford', '', ''], 'Edited by': ['Terry O. Morse', '', ''], 'Music by': [' ', ' ', 'Bill Finnigan ', 'Johnny Mercer', 'Hy Kraft', '', ''], 'Production company': ['Roadshow Productions', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['January 27, 1954 ', '', ''], 'Running time': ['100 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$150,000', '', '']}",2 Reviews,,Fewer than 50 Ratings,29,,1954, Musical/Comedy, 1h 40m
Three Young Texans,1954,"{'Directed by': ['Henry Levin', '', ''], 'Screenplay by': ['Gerald Drayson Adams', '', ''], 'Story by': ['William MacLeod Raine', '', ''], 'Produced by': ['Leonard Goldstein', '', ''], 'Starring': ['Mitzi Gaynor', 'Keefe Brasselle', 'Jeffrey Hunter', '', ''], 'Cinematography': ['Harold Lipstein', '', ''], 'Edited by': ['William B. Murphy', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['Panoramic Productions', ''], 'Distributed by': ['20th Century-Fox', '', ''], 'Release date': ['January\xa016,\xa01954', '\n \n', ''], 'Running time': ['78 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$505,000', '', '']}",0 Reviews,,0 Ratings,,,1954, Western, 1h 18m
Three Coins in the Fountain,1954,"{'Directed by': ['Jean Negulesco', '', ''], 'Screenplay by': ['John Patrick', '', ''], 'Based on': ['by ', 'John H. Secondari', '', ''], 'Produced by': ['Sol C. Siegel', '', ''], 'Starring': ['Clifton Webb', 'Dorothy McGuire', 'Jean Peters', 'Louis Jourdan', 'Maggie McNamara', 'Rossano Brazzi', 'Howard St. John', 'Kathryn Givney', 'Cathleen Nesbitt', '\n \n', ''], 'Cinematography': ['Milton R. Krasner', '', ''], 'Edited by': ['William Reynolds', '', ''], 'Music by': ['Victor Young', '', ''], 'Production company': ['', '20th Century Fox'], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['May\xa020,\xa01954', ' (United States)', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Budget': ['$1.7 million', '', ''], 'Box office': ['$5 million (US rentals)', '$12 million (worldwide rentals)', '\n \n', '']}",10 Reviews,60,"1,000+ Ratings",42,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1954, Romance, 1h 42m
Too Bad She's Bad,1954,"{'Directed by': ['Alessandro Blasetti', '', ''], 'Written by': [""Suso Cecchi d'Amico"", 'Alessandro Continenza', 'Ennio Flaiano', '', ''], 'Starring': ['Marcello Mastroianni', 'Sophia Loren', 'Vittorio De Sica', '', ''], 'Cinematography': ['Aldo Giordani', '', ''], 'Edited by': ['Mario Serandrei', '', ''], 'Music by': ['Alessandro Cicognini', '', ''], 'Production company': ['Documento Film', ''], 'Distributed by': ['CEI Incom', '', ''], 'Release dates': ['25 Jan 1955 (Italy)', '24 December 1955 (U.S.)', '', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['Italy', '', ''], 'Language': ['Italian', '', '']}",1 Reviews,,100+ Ratings,74,"[('amazon-prime-video-us', 'Rent/buy')]",1955, Comedy, 1h 40m
Track of the Cat,1954,"{'Directed by': ['William A. Wellman', '', ''], 'Screenplay by': ['A. I. Bezzerides', '', ''], 'Based on': ['the novel ', 'by ', 'Walter Van Tilburg Clark', '', ''], 'Produced by': ['Robert Fellows', 'John Wayne', '', ''], 'Starring': [' ', ' ', 'Robert Mitchum', 'Teresa Wright', 'Diana Lynn', '', ''], 'Cinematography': ['William H. Clothier', '', ''], 'Edited by': ['Fred MacDowell', '', ''], 'Music by': ['Roy Webb', '', ''], 'Color process': ['Warnercolor', '', ''], 'Production company': ['', 'Wayne/Fellows Productions'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['November\xa019,\xa01954', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2 million', '', '']}",3 Reviews,,250+ Ratings,50,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1954, Adventure, 1h 43m
Twenty-Four Eyes,1954,"{'Directed by': ['Keisuke Kinoshita', '', ''], 'Screenplay by': ['Keisuke Kinoshita', '', ''], 'Based on': ['by ', 'Sakae Tsuboi', '', ''], 'Produced by': ['Ryotaro Kuwata', '', ''], 'Starring': ['Hideko Takamine', '', ''], 'Cinematography': ['Hiroshi Kusuda', '', ''], 'Edited by': ['Yoshi Sugihara', '', ''], 'Music by': ['Chuji Kinoshita', '', ''], 'Distributed by': ['Shochiku', '', ''], 'Release date': ['15\xa0September\xa01954', '\n \n', ''], 'Running time': ['154 minutes', '', ''], 'Language': ['Japanese', '', '']}",5 Reviews,60,250+ Ratings,86,,1954, Drama, 1h 50m
The Weak and the Wicked,1954,"{'Directed by': ['J. Lee Thompson', '', ''], 'Written by': ['J Lee Thompson', 'Joan Henry', 'Anne Burnaby', '', ''], 'Based on': ['by ', 'Joan Henry', '', ''], 'Produced by': ['Victor Skutezky', '', ''], 'Starring': ['Glynis Johns', 'Diana Dors', 'John Gregson', '', ''], 'Cinematography': ['Gilbert Taylor', '', ''], 'Edited by': ['Richard Best', '', ''], 'Music by': ['Leighton Lucas', '', ''], 'Production companies': ['Marble Arch Productions', 'Associated British'], 'Distributed by': ['Associated British-Pathé', '', ''], 'Release date': ['18\xa0July\xa01954', '\n \n', ''], 'Running time': ['88 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['£213,706 (UK)', '', '']}",2 Reviews,,Fewer than 50 Ratings,,,1953, Drama, 1h 28m
Vera Cruz,1954,"{'Directed by': ['Robert Aldrich', '', ''], 'Screenplay by': ['Roland Kibbee', 'James R. Webb', '', ''], 'Story by': ['Borden Chase', '', ''], 'Produced by': ['James Hill', '', ''], 'Starring': ['Gary Cooper', 'Burt Lancaster', 'Denise Darcel', 'Cesar Romero', 'Sara Montiel', '', ''], 'Cinematography': ['Ernest Laszlo', '', ''], 'Edited by': ['Alan Crosland Jr.', '', ''], 'Music by': ['Hugo Friedhofer', '', ''], 'Production company': ['', 'Hecht-Lancaster Productions'], 'Distributed by': ['United Artists', '', ''], 'Release date': ['December 25, 1954', '', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1.6 million', '', ''], 'Box office': ['$11,000,000 (estimated)', '4,508,964 admissions (France)', '', '']}",16 Reviews,81,"1,000+ Ratings",70,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1954, Western, 1h 34m
Wyoming Renegades,1954,"{'Directed by': ['Fred F. Sears', '', ''], 'Screenplay by': ['David Lang', '', ''], 'Story by': ['David Lang', '', ''], 'Produced by': ['Wallace MacDonald', '', ''], 'Starring': ['Philip Carey', 'Gene Evans', 'Martha Hyer', '', ''], 'Cinematography': ['Lester White', '', ''], 'Edited by': ['Edwyn H. Bryant', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['', 'Columbia Pictures'], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['March\xa027,\xa01955', '\n \n', ''], 'Running time': ['72 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",1 Reviews,,Fewer than 50 Ratings,,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Western, 1h 13m
West of Zanzibar,1954,"{'Directed by': ['Harry Watt', '', ''], 'Written by': ['Max Catto', 'Jack Whittingham', '', ''], 'Story by': ['Harry Watt', '', ''], 'Produced by': ['Leslie Norman', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Anthony Steel', 'Sheila Sim', 'Edric Connor', '', ''], 'Cinematography': ['Paul Beeson', '', ''], 'Edited by': ['Peter Bezencenet', '', ''], 'Music by': ['Alan Rawsthorne', '', ''], 'Production company': ['', 'Ealing Studios'], 'Distributed by': ['General Film Distributors', '', ''], 'Release date': ['24 March 1954', '', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}",2 Reviews,,250+ Ratings,81,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1928, Adventure, 1h 8m
Witness to Murder,1954,"{'Directed by': ['Roy Rowland', '', ''], 'Screenplay by': ['Chester Erskine', 'Nunnally Johnson', '', ''], 'Produced by': ['Chester Erskine', '', ''], 'Starring': ['Barbara Stanwyck', 'George Sanders', 'Gary Merrill', '', ''], 'Cinematography': ['John Alton', '', ''], 'Edited by': ['Robert Swink', '', ''], 'Music by': ['Herschel Burke Gilbert', '', ''], 'Production company': ['Chester Erskine Productions', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['April\xa015,\xa01954', ' (United States)', '\n \n', ''], 'Running time': ['83 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",4 Reviews,,100+ Ratings,56,,1954, Mystery & thriller, 1h 23m
Woman's World,1954,"{'Directed by': ['Jean Negulesco', '', ''], 'Screenplay by': ['Claude Binyon', 'Russel Crouse', 'Howard Lindsay', 'Mary Loos', 'Richard Sale', '', ''], 'Based on': [' novelette', 'by ', 'Mona Williams', '', ''], 'Produced by': ['Charles Brackett', '', ''], 'Starring': ['Clifton Webb', 'June Allyson', 'Van Heflin', 'Lauren Bacall', 'Fred MacMurray', 'Arlene Dahl', 'Cornel Wilde', '', ''], 'Cinematography': ['Joseph MacDonald', '', ''], 'Edited by': ['Louis R. Loeffler', '', ''], 'Music by': ['Cyril J. Mockridge', '', ''], 'Production company': ['', '20th Century Fox'], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['September\xa030,\xa01954', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2,010,000', '', ''], 'Box office': ['$3 million (US rentals)', '', '']}",1 Reviews,,100+ Ratings,64,,1954, Comedy/Drama, 1h 34m
Young at Heart,1954,"{'Directed by': ['Gordon Douglas', '', ''], 'Written by': [' (story)', 'Lenore J. Coffee', 'Julius J. Epstein', 'Fannie Hurst', '', ''], 'Produced by': ['Henry Blanke', '', ''], 'Starring': ['Doris Day', 'Frank Sinatra', 'Gig Young', 'Ethel Barrymore', '', ''], 'Cinematography': ['Ted D. McCord', '', ''], 'Edited by': ['William H. Ziegler', '', ''], 'Music by': ['Ray Heindorf', '', ''], 'Production company': ['', 'Arwin Productions'], 'Distributed by': ['Warner Bros.', '', ''], 'Release dates': ['December\xa01954', 'January\xa020,\xa01955', ' (New York City)', '\n \n \n \n', ''], 'Running time': ['117 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2.5 million (US)', '', '']}",10 Reviews,90,"2,500+ Ratings",78,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1954, Musical/Romance, 1h 57m
The Young Lovers,1954,"{'Directed by': ['Anthony Asquith', '', ''], 'Written by': ['Robin Estridge', 'George Tabori', '', ''], 'Produced by': ['Anthony Havelock-Allan', '', ''], 'Starring': [' ', ' ', 'Odile Versois', 'David Knight', 'Joseph Tomelty', '', ''], 'Cinematography': ['Jack Asher', '', ''], 'Edited by': ['Frederick Wilson', '', ''], 'Music by': ['Benjamin Frankel', '', ''], 'Production company': ['', 'Group Film Productions'], 'Distributed by': ['General Film Distributors', '', ''], 'Release date': ['24\xa0August\xa01954', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}",4 Reviews,,0 Ratings,,,2021, Romance/Comedy, 1h 52m
Ain't Misbehavin',1955,"{'Directed by': ['Edward Buzzell', '', ''], 'Written by': ['Robert Carson', 'Devery Freeman', 'Philip Rapp', 'Edward Buzzell', '', ''], 'Produced by': ['Samuel Marx', '', ''], 'Starring': ['Rory Calhoun', 'Piper Laurie', 'Jack Carson', 'Mamie Van Doren', '', ''], 'Cinematography': ['Wilfred M. Cline', '', ''], 'Edited by': ['Paul Weatherwax', '', ''], 'Production company': ['', 'Universal-International'], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['July\xa01,\xa01955', ' (New York City)', '\n \n', ''], 'Running time': ['82 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1 million (US)', '', '']}",1 Reviews,,Fewer than 50 Ratings,,,1955, Musical, 1h 22m
Trader Tom of the China Seas,1954,"{'Directed by': ['Franklin Adreon', '', ''], 'Written by': ['Ronald Davidson', '', ''], 'Produced by': ['Franklin Adreon', '', ''], 'Starring': ['Harry Lauter', 'Aline Towne', 'Lyle Talbot', 'Robert Shayne', 'Fred Graham', 'Richard Reeves', 'John Crawford', 'George Selk', '', ''], 'Cinematography': ['Bud Thackery', '', ''], 'Distributed by': ['Republic Pictures', '', ''], 'Release dates': ['January\xa06,\xa01954', ' (U.S. serial)', '1966', ' (U.S. TV)', '\n \n', ''], 'Running time': ['12 chapters (167 minutes ', '100 minutes ', '', ''], 'Language': ['English', '', ''], 'Budget': ['$172,789 (', ': $169,248)', 'negative cost', '', '']}",0 Reviews,,0 Ratings,,,1954, Adventure, 1h 40m
5 Against the House,1955,"{'Directed by': ['Phil Karlson', '', ''], 'Screenplay by': ['John Barnwell', ' (uncredited)', 'Stirling Silliphant', 'William Bowers', 'Frank Tashlin', '', ''], 'Based on': ['the novel ', 'by ', 'Jack Finney', '', ''], 'Produced by': ['Stirling Silliphant', 'John Barnwell', '', ''], 'Starring': ['Guy Madison', 'Kim Novak', 'Brian Keith', '', ''], 'Cinematography': ['Lester White', '', ''], 'Edited by': ['Jerome Thoms', '', ''], 'Music by': ['George Duning', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Dayle Production', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['June\xa010,\xa01955', ' (New York City)', '\n \n', ''], 'Running time': ['83 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",2 Reviews,,50+ Ratings,24,,1955, Crime/Drama, 1h 24m
Abbott and Costello Meet the Keystone Kops,1955,"{'Directed by': ['Charles Lamont', '', ''], 'Written by': ['John Grant', 'Lee Loeb', '', ''], 'Produced by': ['Howard Christie', '', ''], 'Starring': ['Bud Abbott', 'Lou Costello', 'Fred Clark', 'Mack Sennett', 'Joe Besser', '', ''], 'Cinematography': ['Reggie Lanning', '', ''], 'Edited by': ['Edward Curtiss', '', ''], 'Music by': ['William Lava', 'Henry Mancini', 'Herman Stein', '', ''], 'Production company': ['', 'Universal-International'], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['January 31, 1955', '', ''], 'Running time': ['78 min.', '', ''], 'Language': ['English', '', ''], 'Budget': ['$743,520', '', '']}",0 Reviews,,250+ Ratings,55,,1955, Comedy, 1h 19m
Abbott and Costello Meet the Mummy,1955,"{'Directed by': ['Charles Lamont', '', ''], 'Screenplay by': ['John Grant', '', ''], 'Story by': ['Lee Loeb', '', ''], 'Produced by': ['Howard Christie', '', ''], 'Starring': ['Bud Abbott', 'Lou Costello', 'Marie Windsor', 'Michael Ansara', 'Peggy King', 'Richard Deacon', 'Mel Welles', '', ''], 'Cinematography': ['George Robinson', '', ''], 'Edited by': ['Russell Schoengarth', '', ''], 'Music by': ['Joseph Gershenson ', 'Lou Maury', 'Irving Gertz', 'Henry Mancini', 'Hans J. Salter', '', ''], 'Distributed by': ['Universal-International', '', ''], 'Release date': ['June\xa023,\xa01955', ' (U.S.)', '\n \n', ''], 'Running time': ['79 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$726,250', '', '']}",12 Reviews,25,"1,000+ Ratings",48,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Comedy, 1h 19m
Above Us the Waves,1955,"{'Directed by': ['Ralph Thomas', '', ''], 'Screenplay by': ['Robin Estridge', '', ''], 'Based on': ['by ', '& James Benson', 'C. E. T. Warren', '', ''], 'Produced by': [' (executive), ', 'William MacQuitty', 'Earl St John', '', ''], 'Starring': [' ', ' ', 'John Mills', 'John Gregson', 'Donald Sinden', '', ''], 'Cinematography': ['Ernest Steward', '', ''], 'Edited by': ['Gerald Thomas', '', ''], 'Music by': ['Arthur Benjamin', '', ''], 'Production company': ['', 'London Independent Producers'], 'Distributed by': [' ', ' (US)', 'GFD', 'Republic Pictures', '', ''], 'Release dates': [' ', 'April 1957 (US)', '29\xa0March\xa01955', ' (UK)', '\n \n', ''], 'Running time': ['99 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}",0 Reviews,,100+ Ratings,64,,1955, Adventure, 1h 39m
All That Heaven Allows,1955,"{'Directed by': ['Douglas Sirk', '', ''], 'Screenplay by': ['Peg Fenwick', '', ''], 'Story by': ['Edna L. Lee', 'Harry Lee', '', ''], 'Produced by': ['Ross Hunter', '', ''], 'Starring': ['Jane Wyman', 'Rock Hudson', '', ''], 'Cinematography': ['Russell Metty', '', ''], 'Edited by': ['Frank Gross', '', ''], 'Music by': ['Frank Skinner', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['', 'Universal-International'], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['August\xa025,\xa01955', ' (London)', 'December\xa025,\xa01955', ' (United States)', '\n \n \n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$3.1 million (US)', '', '']}",32 Reviews,91,"5,000+ Ratings",81,,1955, Romance, 1h 29m
Bad Day at Black Rock,1955,"{'Directed by': ['John Sturges', '', ''], 'Screenplay by': [' (adaptation)', 'Millard Kaufman', 'Don McGuire', '', ''], 'Based on': ['""Bad Time at Honda""', '1947 short story in ', 'by ', 'Howard Breslin', '', ''], 'Produced by': ['Dore Schary', '', ''], 'Starring': ['Spencer Tracy', 'Robert Ryan', 'Anne Francis', 'Dean Jagger', 'Walter Brennan', 'John Ericson', 'Ernest Borgnine', 'Lee Marvin', '', ''], 'Cinematography': ['William C. Mellor', '', ''], 'Edited by': ['Newell P. Kimlin', '', ''], 'Music by': ['André Previn', '', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['January\xa07,\xa01955', ' (United States)', '\n \n', ''], 'Running time': ['81 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,288,000', '', ''], 'Box office': ['$3,788,000', '', '']}",33 Reviews,97,"5,000+ Ratings",87,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Crime/Drama, 1h 21m
The Americano,1955,"{'Directed by': ['William Castle', '', ''], 'Screenplay by': ['Guy Trosper', '', ''], 'Story by': ['Leslie T. White', '', ''], 'Produced by': ['Robert Stillman', '', ''], 'Starring': ['Glenn Ford', '', ''], 'Cinematography': ['William E. Snyder', '', ''], 'Edited by': ['Harry Marker', '', ''], 'Music by': ['Roy Webb', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['Robert Stillman Productions', ''], 'Distributed by': ['RKO Radio Pictures', '', ''], 'Release dates': ['January\xa019,\xa01955', ' (Premiere-New York City)', 'January\xa029,\xa01955', ' (US)', '\n \n', ''], 'Running time': ['85 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.25 million (US/Canada ', ')', 'rentals', '', '']}",0 Reviews,,0 Ratings,,,1916, Adventure, 1h 0m
Le Amiche,1955,"{'Directed by': ['Michelangelo Antonioni', '', ''], 'Written by': ['Michelangelo Antonioni', ""Suso Cecchi d'Amico"", 'Alba de Céspedes', '', ''], 'Based on': ['by ', 'Cesare Pavese', '', ''], 'Produced by': ['Giovanni Addessi', '', ''], 'Starring': ['Eleonora Rossi Drago', 'Gabriele Ferzetti', 'Franco Fabrizi', 'Valentina Cortese', '', ''], 'Cinematography': ['Gianni Di Venanzo', '', ''], 'Edited by': ['Eraldo Da Roma', '', ''], 'Music by': ['Giovanni Fusco', '', ''], 'Production company': ['Trionfalcine', ''], 'Distributed by': ['Titanus', '', ''], 'Release date': ['7\xa0September\xa01955', ' (Italy)', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Country': ['Italy', '', ''], 'Language': ['Italian', '', '']}",16 Reviews,100,500+ Ratings,83,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Drama, 1h 45m
Apache Ambush,1955,"{'Directed by': ['Fred F. Sears', '', ''], 'Screenplay by': ['David Lang', '', ''], 'Story by': ['David Lang', '', ''], 'Produced by': ['Wallace MacDonald', '', ''], 'Starring': ['Alex Montoya', 'Bill Williams', 'Richard Jaeckel', '', ''], 'Cinematography': ['Fred Jackman, Jr.', '', ''], 'Edited by': ['Jerome Thoms', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['Columbia Pictures', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['August\xa024,\xa01955', '\n \n', ''], 'Running time': ['68 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",0 Reviews,,0 Ratings,,,1955, Western, 1h 8m
Artists and Models,1955,"{'Directed by': ['Frank Tashlin', '', ''], 'Screenplay by': ['Frank Tashlin', 'Hal Kanter', 'Herbert Baker', '', ''], 'Produced by': ['Hal B. Wallis', '', ''], 'Starring': ['Dean Martin', 'Jerry Lewis', 'Shirley MacLaine', 'Dorothy Malone', 'Eddie Mayehoff', 'Eva Gabor', 'Anita Ekberg', 'George ""Foghorn"" Winslow', '', ''], 'Cinematography': ['Daniel L. Fapp', '', ''], 'Edited by': ['Warren Low', '', ''], 'Music by': ['Walter Scharf', '', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['November\xa07,\xa01955', ' (United States)', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$3.8 million', '1,031,433 admissions (France)', '', '']}",12 Reviews,83,500+ Ratings,76,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Musical/Comedy, 1h 49m
Azaad,1955,"{'Directed by': ['S. M. Sriramulu Naidu', '', ''], 'Screenplay by': ['Rajendra Krishan', '', ''], 'Story by': ['Venkatarama Ramalingam Pillai', '', ''], 'Produced by': ['S. M. Sriramulu Naidu', '', ''], 'Starring': ['Dilip Kumar', 'Meena Kumari', '', ''], 'Cinematography': ['Sailen Bose', '', ''], 'Edited by': ['Veluswamy', '', ''], 'Music by': ['C. Ramchandra', '', ''], 'Production companies': [', ', 'Pakshiraja Studios Coimbatore'], 'Distributed by': ['Pakshiraja Studios', '', ''], 'Release date': ['1\xa0July\xa01955', '\n \n', ''], 'Running time': ['151 mins', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', '']}",0 Reviews,,0 Ratings,,,1955, Action/Adventure, 2h 43m
The Beast with a Million Eyes,1955,"{'Directed by': ['David Kramarsky', 'Lou Place', 'Donald Myers', ' (uncredited)', 'Roger Corman', '\n \n', ''], 'Written by': ['Tom Filer', '', ''], 'Produced by': ['David Kramarsky', 'Charles Hanawalt', '', ''], 'Starring': ['Dona Cole', 'Paul Birch', 'Lorna Thayer', '\n \n', ''], 'Cinematography': ['Everett Baker', '', ''], 'Edited by': ['Jack Killifer', '', ''], 'Music by': ['John Bickford', '', ''], 'Production company': ['San Mateo Productions', ''], 'Distributed by': ['American Releasing Corporation', '', ''], 'Release date': ['June\xa015,\xa01955', ' (United States)', '\n \n', ''], 'Running time': ['78 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$33,000', ' or $20,000', '', ''], 'Box office': ['$100,000', '', '']}",0 Reviews,,250+ Ratings,13,,1955, Sci-fi, 1h 18m
Blood Alley,1955,"{'Directed by': ['William A. Wellman', '', ''], 'Screenplay by': ['Albert Sidney Fleischman', '', ''], 'Based on': ['1955 novel', 'by ', 'Albert Sidney Fleischman', '', ''], 'Produced by': ['John Wayne', '', ''], 'Starring': ['Joy Kim', 'John Wayne', 'Lauren Bacall', 'Paul Fix', 'Anita Ekberg', 'Mike Mazurki', 'Berry Kroeger', '\n \n', ''], 'Cinematography': ['William H. Clothier', '', ''], 'Edited by': ['Fred McDowell', '', ''], 'Music by': ['Roy Webb', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['October\xa01,\xa01955', '\n \n', ''], 'Running time': ['115 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2 million', '', ''], 'Box office': ['$2.2 million (US)', '', '']}",5 Reviews,40,"2,500+ Ratings",45,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Adventure, 1h 55m
Battle Cry,1955,"{'Directed by': ['Raoul Walsh', '', ''], 'Screenplay by': ['Leon Uris', '', ''], 'Based on': ['1953 novel', 'by ', 'Leon Uris', '', ''], 'Produced by': ['Jack L. Warner', '', ''], 'Starring': ['Van Heflin', 'Aldo Ray', 'Mona Freeman', 'Nancy Olson', 'James Whitmore', 'Raymond Massey', 'Tab Hunter', 'Dorothy Malone', 'Anne Francis', '', ''], 'Narrated by': ['James Whitmore', '', ''], 'Cinematography': ['Sidney Hickox', '', ''], 'Edited by': ['William H. Ziegler', '', ''], 'Music by': ['Max Steiner', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['February\xa02,\xa01955', '\n \n', ''], 'Running time': ['149 minutes', '', ''], 'Country': ['United States', '', ''], 'Languages': ['English', 'Navajo', '', ''], 'Box office': ['$8 million (US/ Canada rentals)', '', '']}",4 Reviews,,"1,000+ Ratings",47,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, War, 2h 29m
Bedevilled,1955,"{'Directed by': ['Mitchell Leisen', '', ''], 'Written by': ['Jo Eisinger', '', ''], 'Produced by': ['Henry Berman', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Anne Baxter', 'Steve Forrest', 'Simone Renant', '', ''], 'Cinematography': ['Freddie Young', '', ''], 'Edited by': ['Frank Clarke', '', ''], 'Music by': ['William Alwyn', '', ''], 'Production company': ['', 'Metro-Goldwyn-Mayer'], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['April 28, 1955', '', ''], 'Running time': ['85 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$868,000', '', ''], 'Box office': ['$1,047,000', '', '']}",1 Reviews,,Fewer than 50 Ratings,38,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1955, Crime/Drama, 1h 25m
