title,year,infobox,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length
The Black Rose,1950,"{'Directed by': ['Henry Hathaway', '', ''], 'Written by': [' (novel)', 'Thomas B. Costain', '', ''], 'Screenplay by': ['Talbot Jennings', '', ''], 'Based on': ['', ''], 'Produced by': ['Louis D. Lighton', '', ''], 'Starring': ['Tyrone Power', 'Orson Welles', 'Cécile Aubry', 'Jack Hawkins', '', ''], 'Cinematography': ['Jack Cardiff', '', ''], 'Edited by': ['Manuel del Campo', '', ''], 'Music by': ['Richard Addinsell', '', ''], 'Color process': ['Technicolor', '', ''], 'Production company': ['Twentieth Century-Fox Film Productions', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['September\xa01,\xa01950', '\n \n', ''], 'Running time': ['121 minutes', '', ''], 'Countries': ['United States', 'United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2.65 million (US rentals)', '', '']}",1 Reviews,,250+ Ratings,45,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Adventure, 2h 0m
Beqasoor,1950,"{'Directed by': ['K. Amarnath', '', ''], 'Written by': ['Madhusudan', 'Ehsan Rizvi', '', ''], 'Story by': ['K. Amarnath', '', ''], 'Produced by': ['M. R. Navalkar', '', ''], 'Starring': ['Madhubala', 'Ajit', 'Yakub', 'Gope', '', ''], 'Music by': ['Anil Biswas', '', ''], 'Distributed by': ['Madhukar Pictures', '', ''], 'Release date': ['2\xa0June\xa01950', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', ''], 'Box office': [' ', '0.9 crore (', ' ', '125.3 crore as of 2016)', '', '']}",0 Reviews,,0 Ratings,,,1980, Action/Crime, 2h 2m
At War with the Army,1950,"{'Directed by': ['Hal Walker', '', ''], 'Written by': ['Fred Finklehoffe', '', ''], 'Based on': [' (play)', 'by ', 'James Allardice', '', ''], 'Produced by': ['Fred Finklehoffe', '', ''], 'Starring': ['Jimmy Dundee', 'Dean Martin', 'Jerry Lewis', 'Mike Kellin', 'Polly Bergen', '', ''], 'Cinematography': ['Stuart Thompson', '', ''], 'Edited by': ['Paul Weatherwax', '', ''], 'Music by': ['Joseph Lilley', '', ''], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['December\xa031,\xa01950', ' (San Francisco)', '\n \n', ''], 'Running time': ['93 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['less than $500,000', '', ''], 'Box office': ['$3.3 million (US rentals)', '1,464,218 admissions (France)', '', '']}",2 Reviews,,"2,500+ Ratings",58,"[('amazon-prime-video-us', 'Subscription')]",1950, Comedy, 1h 33m
Bitter Springs,1950,"{'Directed by': ['Ralph Smart', '', ''], 'Written by': ['Monja Danischewsky', 'W. P. Lipscomb', '', ''], 'Based on': ['Story by Ralph Smart', '', ''], 'Produced by': [' (assoc)', 'Michael Balcon', 'Leslie Norman', '', ''], 'Starring': ['Tommy Trinder', 'Chips Rafferty', 'Gordon Jackson', '', ''], 'Cinematography': ['George Heath', '', ''], 'Edited by': ['Bernard Gribble', '', ''], 'Music by': ['Ralph Vaughan Williams', '', ''], 'Production company': ['', 'Ealing Studios'], 'Distributed by': ['General Film Distributors', '', ''], 'Release dates': ['24\xa0June\xa01950', ' (Australia)', '6\xa0July\xa01950', ' (UK)', '\n \n', ''], 'Running time': ['86 minutes', '', ''], 'Countries': ['Australia', 'United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£100,000', '', ''], 'Box office': ['£114,000', '', '']}",0 Reviews,,0 Ratings,,,1950, Drama, 1h 26m
Born to Be Bad,1950,"{'Directed by': ['Nicholas Ray', '', ''], 'Screenplay by': [' (adaptation) ', 'Robert Soderberg (additional dialogue)', ' (additional dialogue)', 'Edith Sommer', 'Charles Schnee', 'George Oppenheimer', '', ''], 'Based on': ['the novel ', 'by ', 'Anne Parrish', '', ''], 'Produced by': ['Robert Sparks', '', ''], 'Starring': ['Joan Fontaine', 'Robert Ryan', 'Zachary Scott', 'Joan Leslie', 'Mel Ferrer', '', ''], 'Cinematography': ['Nicholas Musuraca', '', ''], 'Edited by': ['Frederic Knudtson', '', ''], 'Music by': ['Frederick Hollander', '', ''], 'Distributed by': ['RKO Radio Pictures', '', ''], 'Release date': ['July\xa015,\xa01950', ' (', ')', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",1 Reviews,,500+ Ratings,25,,1934, Drama, 1h 10m
Born Yesterday,1950,"{'Directed by': ['George Cukor', '', ''], 'Written by': ['Garson Kanin (', ')', 'Albert Mannheimer', '', ''], 'Based on': ['1946 play', 'by ', 'Garson Kanin', '', ''], 'Produced by': ['S. Sylvan Simon', '', ''], 'Starring': ['Judy Holliday', 'Broderick Crawford', 'William Holden', '', ''], 'Cinematography': ['Joseph Walker', '', ''], 'Edited by': ['Charles Nelson', '', ''], 'Music by': ['Frederick Hollander', '', ''], 'Production company': ['Columbia Pictures', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['December\xa025,\xa01950', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$4.15 million (US rentals)', '', '']}",0 Reviews,,0 Ratings,,,1956, Comedy, 1h 30m
Beauty and the Devil,1950,"{'Directed by': ['René Clair', '', ''], 'Written by': ['René Clair', 'Armand Salacrou', '', ''], 'Produced by': [""Salvo D'Angelo"", '', ''], 'Starring': ['Michel Simon', 'Gérard Philipe', '', ''], 'Cinematography': ['Michel Kelber', '', ''], 'Edited by': ['James Cuenet', '', ''], 'Music by': ['Roman Vlad', '', ''], 'Distributed by': [' ', 'ENIC ', 'Les Films Corona', '', ''], 'Release dates': ['16\xa0March\xa01950', ' (France)', '14\xa0April\xa01950', ' (Italy)', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Countries': ['France ', ' Italy', '', ''], 'Language': ['French', '', ''], 'Box office': ['2,538,884 admissions (France)', '', '']}",4 Reviews,,250+ Ratings,93,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1949, Drama, 1h 35m
Bright Leaf,1950,"{'Directed by': ['Michael Curtiz', '', ''], 'Screenplay by': ['Ranald MacDougall', '', ''], 'Based on': ['by ', 'Foster Fitz-Simons', '', ''], 'Produced by': ['Henry Blanke', '', ''], 'Starring': ['Gary Cooper', 'Lauren Bacall', 'Patricia Neal', '\n \n', ''], 'Cinematography': ['Karl Freund', '', ''], 'Edited by': ['Owen Marks', '', ''], 'Music by': ['Victor Young', '', ''], 'Color process': ['Black and white', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['July\xa02,\xa01950', ' (USA)', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,944,000', '', ''], 'Box office': ['$2,446,000', '$1,750,000 (US/Canada rentals)', '', '']}",0 Reviews,,50+ Ratings,55,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Drama, 1h 50m
Caged,1950,"{'Directed by': ['John Cromwell', '', ''], 'Written by': ['Bernard C. Schoenfeld', 'Virginia Kellogg', '', ''], 'Screenplay by': ['Virginia Kellogg', '', ''], 'Based on': [' by Kellogg and Schoenfeld', '', ''], 'Produced by': ['Jerry Wald', '', ''], 'Starring': ['Eleanor Parker', 'Agnes Moorehead', 'Betty Garde', 'Hope Emerson', 'Ellen Corby', '\n \n', ''], 'Cinematography': ['Carl E. Guthrie', '', ''], 'Edited by': ['Owen Marks', '', ''], 'Music by': ['Max Steiner', '', ''], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['May\xa019,\xa01950', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$1.5 million', '', '']}",6 Reviews,33,500+ Ratings,83,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",1950, Drama/Lgbtq+, 1h 36m
The Breaking Point,1950,"{'Directed by': ['Michael Curtiz', '', ''], 'Screenplay by': ['Ranald MacDougall', '', ''], 'Based on': ['by ', 'Ernest Hemingway', '', ''], 'Produced by': ['Jerry Wald', '', ''], 'Starring': ['John Garfield', 'Patricia Neal', 'Phyllis Thaxter', 'Juano Hernandez', '', ''], 'Cinematography': ['Ted D. McCord', '', ''], 'Edited by': ['Alan Crosland Jr.', '', ''], 'Music by': ['Max Steiner', '', ''], 'Production company': ['', 'Warner Bros.'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['September\xa030,\xa01950', ' (United States)', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Subscription')]",2014, Action/Crime, 1h 15m
