title,year,infobox,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length
Aalwar,2007,"{'Directed by': ['Chella Ayyavu', '', ''], 'Written by': ['Chella Ayyavu', ' (dialogues)', 'Ravi Mariya', '', ''], 'Produced by': ['Mohan Natarajan', '', ''], 'Starring': ['Ajith Kumar ', 'Asin', 'Keerthi Chawla', 'Vivek', 'Lal', 'Aditya Srivastava', '', ''], 'Cinematography': ['G. Ramesh', '', ''], 'Edited by': ['V. T. Vijayan', '', ''], 'Music by': ['Srikanth Deva', '', ''], 'Production company': ['Sri Rajakaliamman Super Films', ''], 'Release date': ['12\xa0January\xa02007', '\n \n', ''], 'Running time': ['162 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['15 December 2006 (India)', ''], 'Recorded': ['2006', '', ''], '': ['Mohan Natarajan', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,,2007, Action, 2h 42m
Pokkiri,2007,"{'Directed by': ['Prabhu Deva', '', ''], 'Written by': ['V. Prabhakar ', '', ''], 'Screenplay by': ['Prabhu Deva', '', ''], 'Story by': ['Puri Jagannadh', '', ''], 'Based on': [' (Telugu)', '', ''], 'Produced by': ['S.Sathyaramamoorthy', '', ''], 'Starring': ['Vijay', 'Asin', 'Prakash Raj', '', ''], 'Cinematography': ['Nirav Shah', '', ''], 'Edited by': ['Kola Bhaskar', '', ''], 'Music by': ['Mani Sharma', '', ''], 'Production company': ['Kanagarathna Movies', ''], 'Distributed by': ['Aascar Films', '', ''], 'Release date': ['12 January 2007', '', ''], 'Running time': ['160 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,,2007, Action/Crime, 2h 41m
Deepavali,2007,"{'Directed by': ['Ezhil', '', ''], 'Written by': ['S. Ezhil', 'Shankar Dayal (dialogues)', '', ''], 'Produced by': [' ', 'N. Linguswamy', 'N. Subash Chandrabose', '', ''], 'Starring': ['Jayam Ravi', 'Bhavana', 'Raghuvaran', 'Vijayakumar', 'Lal', 'Cochin Haneefa', '', ''], 'Cinematography': ['S.D. Vijay Milton', '', ''], 'Edited by': ['G. Sasikumar', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production company': ['', 'Thirupathi Brothers'], 'Release date': ['9\xa0February\xa02007', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['5\xa0January\xa02007', '', ''], 'Recorded': ['2006', '', ''], '': ['Yuvan Shankar Raja', '', '']}",0 Reviews,,0 Ratings,,,2007, Romance/Action, 2h 32m
Thaamirabharani,2007,"{'Directed by': ['Hari', '', ''], 'Written by': ['Hari', '', ''], 'Produced by': ['B. Venkatarama Reddy', '', ''], 'Starring': ['Vishal', 'Bhanu', '', ''], 'Cinematography': ['Priyan', '', ''], 'Edited by': ['V. T. Vijayan', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production company': ['', 'Vijaya Productions'], 'Release date': ['14\xa0January\xa02007', '\n \n', ''], 'Running time': ['154 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['22\xa0December\xa02006', '', ''], 'Recorded': ['2006', '', ''], '': ['Yuvan Shankar Raja', '', '']}",0 Reviews,,50+ Ratings,62,"[('amazon-prime-video-us', 'Rent/buy')]",2007, Drama, 2h 39m
Veerasamy,2007,"{'Directed by': ['T. Rajendar', '', ''], 'Written by': ['T. Rajendar', '', ''], 'Produced by': ['T. Rajendar', '', ''], 'Starring': ['T. Rajendar', 'Mumtaj', 'Sheela Kaur', '', ''], 'Cinematography': ['T. Rajendar', '', ''], 'Edited by': ['J. N. Harsha', '', ''], 'Music by': ['T. Rajendar', '', ''], 'Production company': ['Chimbu Cini Arts', ''], 'Release date': ['2\xa0February\xa02007', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,,2007, Action, 3h 20m
Agaram,2007,"{'Directed by': ['T. Nagarajan', '', ''], 'Written by': ['T. Nagarajan', '', ''], 'Produced by': ['AP Sivayogen', '', ''], 'Starring': [' ', 'Nandha', 'Archana', 'Biju Menon', 'Vivek', 'Ilavarasu', 'Raj Kapoor', 'Seetha', 'Sheetal Menon', '', ''], 'Cinematography': ['Vetri', '', ''], 'Edited by': ['Justin Roy', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production company': ['Shree Bhuvaneasvari Pictures', ''], 'Release date': ['16\xa0February\xa02007', '\n \n', ''], 'Running time': ['137 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['12\xa0December\xa02005', '', ''], 'Recorded': ['2005', '', ''], '': ['Yuvan Shankar Raja', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2007, Action, 2h 17m
Mozhi,2007,"{'Directed by': ['Radha Mohan', '', ''], 'Written by': ['Viji ', '', ''], 'Screenplay by': ['Radha Mohan', '', ''], 'Story by': ['Radha Mohan', '', ''], 'Produced by': ['Prakash Raj', '', ''], 'Starring': ['Jyothika', 'Prithviraj Sukumaran', 'Prakash Raj', 'Swarnamalya', '', ''], 'Cinematography': ['K. V. Guhan', '', ''], 'Edited by': ['Kasi Viswanathan', '', ''], 'Music by': ['Vidyasagar', '', ''], 'Production company': ['', 'Duet Movies'], 'Distributed by': ['Oscar Films', '', ''], 'Release date': ['23 February 2007', '', ''], 'Running time': ['155 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['2 February 2007', '', ''], 'Recorded': ['2007', '', ''], 'Studio': ['Varsha Vallaki Studios', '', ''], '': ['Vidyasagar', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,,2007, Drama/Romance, 2h 35m
Nanbanin Kadhali,2007,"{'Directed by': ['G. Kicha', '', ''], 'Written by': ['G. Kicha', '', ''], 'Produced by': ['Dharani,', 'Nanda Raguram', '', ''], 'Starring': ['Shivani Singh', 'Vikramaditya', 'Kunal', '', ''], 'Music by': ['Deva', '', ''], 'Production company': ['Sri Movie Makers', ''], 'Release date': ['16\xa0March\xa02007', '\n \n', ''], 'Running time': ['200 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2007, Romance, 2h 0m
Adavadi,2007,"{'Directed by': ['V. S. Bharath Hanna', '', ''], 'Written by': ['V. S. Bharath Hanna ', '', ''], 'Screenplay by': ['V. S. Bharath Hanna', '', ''], 'Story by': ['Upendra', '', ''], 'Produced by': ['G. Saravana', 'R. Sekar', '', ''], 'Starring': ['Sathyaraj', 'Radha', 'Y. Gee. Mahendra', 'Sathyapriya', 'K. R. Vatsala', 'Vaiyapuri', 'Suja Varunee', 'Ganja Karuppu', 'Malaysia Vasudevan', '', ''], 'Cinematography': ['R. Judo Ashwin', '', ''], 'Edited by': ['K. Thangavel', '', ''], 'Music by': ['Deva', '', ''], 'Production company': ['Sri Saravana Film Arts', ''], 'Release date': ['30\xa0March\xa02007', '\n \n', ''], 'Running time': ['140 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2007, Mystery & thriller, 2h 21m
Chennai 600028,2007,"{'Directed by': ['Venkat Prabhu', '', ''], 'Written by': ['Venkat Prabhu', '', ''], 'Produced by': ['J. K. Saravana', 'S. P. B. Charan', '', ''], 'Starring': ['Prasanna', 'Ranjith', 'Karthik', 'Arun', 'Jai', 'Shiva', 'Premji', 'Nithin Sathya', 'Aravind Akash', 'Vijay Vasanth', 'Vijayalakshmi Feroz', 'Ajay Raj', '', ''], 'Narrated by': ['S. P. Balasubrahmanyam', '', ''], 'Cinematography': ['Sakthi Saravanan', '', ''], 'Edited by': ['B. Lenin', 'Praveen K. L.', 'Srikanth.N.B', '', ''], 'Music by': ['Premji Amaren', 'Yuvan Shankar Raja', '', ''], 'Production company': ['', 'Capital Film Works'], 'Distributed by': ['Tantra films', '', ''], 'Release date': ['27\xa0April\xa02007', '\n \n', ''], 'Running time': ['141 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Budget': [' 1.65 crore', '', ''], 'Released': ['19 February 2007  23 February 2007 ', ''], 'Recorded': ['2006', '', ''], '': ['Yuvan Shankar Raja', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,,2007, Comedy, 2h 21m
Karuppusamy Kuththagaithaarar,2007,"{'Directed by': ['A. Govindamoorthy', '', ''], 'Written by': ['A. Govindamoorthy', '', ''], 'Produced by': ['D.Gopinath', 'Dheeraj Kher', 'R.Balasubramaniam', 'Vineet Gogiya', 'Sethu', '', ''], 'Starring': ['Karan', 'Meenakshi', 'Vadivelu', '', ''], 'Cinematography': ['J. Sridhar', '', ''], 'Edited by': ['S. Shathish', '', ''], 'Music by': ['Dhina', '', ''], 'Release date': ['14\xa0May\xa02007', '\n \n', ''], 'Running time': ['150 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,,2007, Drama, 2h 30m
Kireedam,2007,"{'': ['G. V. Prakash', '', ''], 'Directed by': ['A. L. Vijay', '', ''], 'Written by': ['A. L. Vijay ', ' (dialogues)', 'Na. Muthukumar', '', ''], 'Screenplay by': ['A. L. Vijay', '', ''], 'Story by': ['A. K. Lohithadas', '', ''], 'Based on': [' (Malayalam)', '', ''], 'Produced by': ['Suresh Balaje', '', ''], 'Starring': ['Ajith Kumar', 'Trisha', 'Rajkiran', 'Ajay', 'Vivek', 'Saranya', 'Santhanam', '', ''], 'Cinematography': ['Tirru', 'Nirav Shah', '', ''], 'Edited by': ['Anthony', '', ''], 'Music by': ['G. V. Prakash Kumar', '', ''], 'Production companies': ['Sujatha Cine Arts Adlabs Limited', ''], 'Release date': ['20\xa0July\xa02007', '\n \n', ''], 'Running time': ['157 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['5 June 2007', '', ''], 'Recorded': ['2007', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,"[('hulu', 'Subscription')]",2007, Crime/Drama, 2h 35m
Viyabari,2007,"{'Directed by': ['Shakti Chidambaram', '', ''], 'Written by': ['Shakti Chidambaram', '', ''], 'Produced by': ['Shakti Preetham', 'Shakti Threja', '', ''], 'Starring': ['S. J. Suryah', 'Tamannaah', 'Prakash Raj', 'Namitha', 'Malavika', 'Vadivelu', 'Santhanam', 'Seetha', 'Nassar', '', ''], 'Cinematography': ['M. V. Panneerselvam', '', ''], 'Edited by': ['S. Suraj Kavee', '', ''], 'Music by': ['Deva', '', ''], 'Production company': ['Cinema Paradise', ''], 'Release date': ['11\xa0July\xa02007', '\n \n', ''], 'Running time': ['162 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['N/A 2007', '', ''], '': ['Hit Musics', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Subscription')]",2007, Drama, 2h 42m
Urchagam,2007,"{'Directed by': ['Ravichandran', '', ''], 'Produced by': ['GV', '', ''], 'Starring': ['Nandha', 'Sherin', 'Vivek', 'Dinesh Lamba', '', ''], 'Cinematography': ['R.B. Gurudev', '', ''], 'Music by': ['Ranjit Barot', '', ''], 'Distributed by': ['G.V. Films Limited', '', ''], 'Release date': ['2\xa0September\xa02007', '\n \n', ''], 'Running time': ['146 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', '']}",0 Reviews,,0 Ratings,,,2007, Drama, 2h 21m
Kattradhu Thamizh,2007,"{'Directed by': ['Ram', '', ''], 'Written by': ['Ram', '', ''], 'Produced by': ['Salmara Mohammad Sharief', '', ''], 'Starring': ['Jiiva', 'Anjali', 'Karunas', 'Azhagam Perumal', '', ''], 'Cinematography': ['S. R. Kathir', '', ''], 'Edited by': ['A. Sreekar Prasad', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production company': ['MR Film Productions', ''], 'Release date': ['6\xa0October\xa02007', '\n \n', ''], 'Running time': ['147 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['5 October 2007', '', ''], 'Recorded': ['2007', '', ''], '': ['[Salmara Mohammed Sharief', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2007, Drama, 2h 27m
Thavam,2007,"{'Directed by': ['Sakthi Paramesh', '', ''], 'Written by': ['Puri Jagannadh', '', ''], 'Produced by': ['Arjun Sarja', '', ''], 'Starring': ['Vandana', 'Arun Vijay', 'Vadivelu', 'Janagaraj', 'Kalairani', '', ''], 'Music by': ['D. Imman', '', ''], 'Production company': ['', 'Sree Raam Films International'], 'Release date': ['5\xa0October\xa02007', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['2007', '', ''], '': ['T-Series', 'Big Music', '', '']}",0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Subscription')]",2007, Drama, 2h 25m
Malaikottai,2007,"{'Directed by': ['Boopathy Pandian', '', ''], 'Written by': ['Boopathy Pandian', '', ''], 'Produced by': ['T. Ajay Kumar', '', ''], 'Starring': ['Vishal', 'Priyamani', '', ''], 'Cinematography': ['Vaidy S', '', ''], 'Edited by': ['G. Sasikumar', '', ''], 'Music by': ['Mani Sharma', '', ''], 'Production company': ['Sri Lakshmi Productions', ''], 'Release date': ['28\xa0September\xa02007', '\n \n', ''], 'Running time': ['145 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Box office': [' ', '15 crore', '', ''], 'Released': ['2007', '', ''], '': ['Mani Sharma', '', '']}",0 Reviews,,0 Ratings,,,2007, Action, 2h 25m
Polladhavan,2007,"{'Directed by': ['Vetrimaaran', '', ''], 'Written by': ['Vetrimaaran', '', ''], 'Produced by': ['S. Katheresan', '', ''], 'Starring': ['Dhanush', 'Divya Spandana', 'Daniel Balaji', 'Kishore', '', ''], 'Cinematography': ['Velraj', '', ''], 'Edited by': ['V. T. Vijayan', '', ''], 'Music by': ['Yogi B', 'G. V. Prakash Kumar', 'G. V. Prakash Kumar', 'Dhina', '', ''], 'Production company': ['Group Company', ''], 'Distributed by': ['Five Star Films', '', ''], 'Release date': ['8\xa0November\xa02007', '\n \n', ''], 'Running time': ['160 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['15 June 2007', '', ''], '': ['G. V. Prakash', '', ''], 'Length': ['', '']}",0 Reviews,,0 Ratings,,,2007, Musical/Romance, 2h 30m
Kannamoochi Yenada,2007,"{'Directed by': ['V. Priya', '', ''], 'Written by': ['V. Priya', 'Siva Ananth', '', ''], 'Produced by': ['Zarine Screwvala', 'P. S. Saminathan', 'Raadhika', '', ''], 'Starring': ['Prithviraj', 'Sandhya', 'Sathyaraj', 'Raadhika Sarathkumar', 'Sripriya', 'Radha Ravi', 'Manobala', '', ''], 'Cinematography': ['Preetha Jayaraman', '', ''], 'Edited by': ['Sathish Suriya', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production companies': ['Raadan Media Works', 'UTV Motion Pictures Pyramid Saimira'], 'Distributed by': ['Raadan Media Works', 'UTV Motion Pictures', 'Pyramid Saimira', '', ''], 'Release date': ['8\xa0November\xa02007', '\n \n', ''], 'Running time': ['133 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['23 August 2007 (India)', '', ''], 'Recorded': ['2007', '', ''], '': ['Yuvan Shankar Raja', '', '']}",0 Reviews,,0 Ratings,,,2007, Comedy/Drama, 2h 13m
Vel,2007,"{'Directed by': ['Hari', '', ''], 'Written by': ['Hari', '', ''], 'Produced by': ['M. Chinthamani', '', ''], 'Starring': [' ', 'Suriya', 'Asin', 'Vadivelu', 'Kalabhavan Mani', '', ''], 'Cinematography': ['Priyan', '', ''], 'Edited by': ['V. T. Vijayan', '', ''], 'Music by': ['Yuvan Shankar Raja', '', ''], 'Production company': ['Sree Rajakaalaiamman Medias', ''], 'Distributed by': ['Kalasangham Films', '', ''], 'Release date': ['8\xa0November\xa02007', '\n \n', ''], 'Running time': ['161 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['13 October 2007 (India)', ''], 'Recorded': ['2007', '', ''], '': ['Yuvan Shankar Raja', '', '']}",0 Reviews,,250+ Ratings,63,,2007, Drama/Romance, 2h 38m
Oram Po,2007,"{'Directed by': ['Pushkar–Gayathri', '', ''], 'Written by': [' (Dialogue)', 'Thiagarajan Kumararaja', '', ''], 'Screenplay by': ['Pushkar–Gayathri', '', ''], 'Story by': ['Pushkar–Gayathri', '', ''], 'Produced by': ['A.P. Film Garden', '', ''], 'Starring': ['Arya', 'Pooja', 'Lal', 'John Vijay', '', ''], 'Cinematography': ['Nirav Shah', '', ''], 'Edited by': ['Anthony', '', ''], 'Music by': ['G. V. Prakash Kumar', '', ''], 'Distributed by': ['A P Film Garden', '', ''], 'Release date': ['30\xa0November\xa02007', '\n \n', ''], 'Running time': ['120 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Tamil', '', ''], 'Released': ['4 February 2007', '', ''], 'Recorded': ['2007', '', ''], '': ['Ayngaran', '', '']}",0 Reviews,,0 Ratings,,,2007, Comedy, 2h 0m
