,title,year,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length,infobox
693,2 Fast 2 Furious,2003,159 Reviews,36,"250,000+ Ratings",50,"[('vudu', 'Rent/buy'), ('peacock', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Action, 1h 48m,"{'Directed by': ['John Singleton', '', ''], 'Screenplay by': ['Michael Brandt', 'Derek Haas', '\n \n', ''], 'Story by': ['Michael Brandt', 'Derek Haas', 'Gary Scott Thompson', '\n \n', ''], 'Based on': ['by Gary Scott Thompson', 'Characters', '', ''], 'Produced by': ['Neal H. Moritz', '', ''], 'Starring': ['Paul Walker', 'Tyrese Gibson', 'Eva Mendes', 'Cole Hauser', 'Chris ""Ludacris"" Bridges', 'James Remar', '\n \n', ''], 'Cinematography': ['Matthew F. Leonetti', '', ''], 'Edited by': ['Dallas Puett', 'Bruce Cannon', '\n \n', ''], 'Music by': ['David Arnold', '', ''], 'Production company': ['', 'Universal Pictures'], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['June\xa06,\xa02003', ' (United States)', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Countries': ['Germany', 'United States', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$76 million', '', ''], 'Box office': ['$236.4 million', '', '']}"
694,2LDK,2003,8 Reviews,100,"2,500+ Ratings",78,"[('amazon-prime-video-us', 'Rent/buy')]",2002, Comedy/Drama, 1h 10m,"{'Directed by': ['Yukihiko Tsutsumi', '', ''], 'Written by': ['Yuiko Miura, Yukihiko Tsutsumi', '', ''], 'Produced by': ['Shinya Kawai', '', ''], 'Starring': ['Maho Nonami', 'Eiko Koike', '\n \n', ''], 'Distributed by': ['TLA Releasing', '', ''], 'Release dates': ['April\xa011,\xa02003', ' (Philadelphia International Film Festival)', 'May\xa013,\xa02004', ' (Japan)', '\n \n', ''], 'Running time': ['70 minutes', '', ''], 'Country': ['Japan', '', ''], 'Language': ['Japanese', '', '']}"
695,21 Grams,2003,182 Reviews,81,"100,000+ Ratings",86,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Drama, 2h 5m,"{'Directed by': ['Alejandro González Iñárritu', '', ''], 'Written by': ['Guillermo Arriaga', '', ''], 'Produced by': ['Alejandro González Iñárritu', 'Robert Salerno', '', ''], 'Starring': [' ', 'Sean Penn', 'Naomi Watts', 'Benicio del Toro', 'Melissa Leo', 'Charlotte Gainsbourg', '', ''], 'Cinematography': ['Rodrigo Prieto', '', ''], 'Edited by': ['Stephen Mirrione', '', ''], 'Music by': ['Gustavo Santaolalla', '', ''], 'Production company': ['', 'This Is That Productions'], 'Distributed by': ['Focus Features', '', ''], 'Release dates': ['September\xa05,\xa02003', ' (', ')', 'November\xa021,\xa02003', ' (United States)', 'Venice Film Festival', '\n \n', ''], 'Running time': ['124 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$20 million', '', ''], 'Box office': ['$60.4 million', '', '']}"
696,Acacia,2003,3 Reviews,,50+ Ratings,42,,2003, Horror, 1h 42m,"{'Directed by': ['Park Ki-hyeong', '', ''], 'Written by': ['Seong Gi-young', 'Park Ki-hyung', '', ''], 'Produced by': ['Kang Sung-kyu', 'Park Ki-hyung', 'Yu Yeong-shik', '', ''], 'Starring': ['Shim Hye-jin', 'Kim Jin-geun', 'Moon Woo-bin', 'Jeong Na-yun', '', ''], 'Cinematography': ['Oh Hyun-jae', '', ''], 'Edited by': ['Ham Seong-weon', '', ''], 'Music by': ['Choi Man-sik', '', ''], 'Distributed by': ['Show East', '', ''], 'Release date': ['October\xa017,\xa02003', '\n \n', ''], 'Running time': ['103 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', '']}"
697,After You...,2003,0 Reviews,,0 Ratings,,,2013, Comedy/Drama, 1h 27m,"{'Directed by': ['Pierre Salvadori', '', ''], 'Written by': ['Benoît Graffin', 'David Léotard', 'Pierre Salvadori', '', ''], 'Produced by': ['Philippe Martin', '', ''], 'Starring': ['Daniel Auteuil', 'José Garcia', 'Sandrine Kiberlain', '', ''], 'Cinematography': ['Gilles Henry', '', ''], 'Edited by': ['Isabelle Devinck', '', ''], 'Music by': ['Camille Bazbaz', '', ''], 'Distributed by': ['Mars Distribution', '', ''], 'Release date': ['18\xa0October\xa02003', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['France', '', ''], 'Language': ['French', '', ''], 'Budget': ['$8.7 million', '', ''], 'Box office': ['$15 million', '', '']}"
698,Alexandra's Project,2003,19 Reviews,53,"2,500+ Ratings",55,,2003, Mystery & thriller/Drama, 1h 43m,"{'Directed by': ['Rolf de Heer', '', ''], 'Written by': ['Rolf de Heer', '', ''], 'Produced by': ['Rolf de Heer', 'Domenico Procacci', 'Julie Ryan', '', ''], 'Starring': ['Gary Sweet', 'Helen Buday', '', ''], 'Cinematography': ['Ian Jones', '', ''], 'Edited by': ['Tania Nehme', '', ''], 'Music by': ['Graham Tardif', '', ''], 'Production companies': ['Vertigo Productions Pty. Ltd. The Australian Film Commission Fandango Australia Hendon Studios The South Australian Film Corporation', 'Palace Films'], 'Distributed by': ['Palace Films', '20th Century Fox Home Entertainment', '', ''], 'Release date': ['8\xa0May\xa02003', ' (Australia)', '\n \n', ''], 'Running time': ['103 minutes', '', ''], 'Country': ['Australia', '', ''], 'Language': ['English', '', ''], 'Box office': ['A$844,494 (Australia)', '', '']}"
699,Agent Cody Banks,2003,104 Reviews,38,"250,000+ Ratings",32,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Subscription'), ('itunes', 'Rent/buy')]",2003, Kids & family/Adventure, 1h 42m,"{'Directed by': ['Harald Zwart', '', ''], 'Screenplay by': ['Scott Alexander', 'Larry Karaszewski', 'Zack Stentz', 'Ashley Edward Miller', '', ''], 'Story by': ['Jeffrey Jurgensen', '', ''], 'Produced by': ['David C. Glasser', 'Andreas Klein', 'Dylan Sellers', 'David Nicksay', 'Guy Oseary', '', ''], 'Starring': ['Frankie Muniz', 'Hilary Duff', 'Angie Harmon', 'Keith David', 'Cynthia Stevenson', 'Arnold Vosloo', 'Ian McShane', '', ''], 'Cinematography': ['Denis Crossan', '', ''], 'Edited by': ['Jim Miller', '', ''], 'Music by': ['John Powell', '', ''], 'Production companies': ['Splendid Pictures Dylan Sellers Productions', 'Maverick Films Metro-Goldwyn-Mayer'], 'Distributed by': [' (United States)', ' (International)', 'MGM Distribution Co.', '20th Century Fox', '', ''], 'Release date': ['March\xa014,\xa02003', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$28 million', '', ''], 'Box office': ['$58.8 million', '', '']}"
700,Alien,2003,132 Reviews,98,"250,000+ Ratings",94,"[('vudu', 'Rent/buy'), ('itunes', 'Rent/buy')]",1979, Sci-fi/Horror, 1h 57m,"{'Directed by': ['Ridley Scott', '', ''], 'Screenplay by': [""Dan O'Bannon"", '', ''], 'Story by': [""Dan O'Bannon"", 'Ronald Shusett', '\n \n', ''], 'Produced by': ['Gordon Carroll', 'David Giler', 'Walter Hill', '\n \n', ''], 'Starring': ['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright', 'Harry Dean Stanton', 'John Hurt', 'Ian Holm', 'Yaphet Kotto', '\n \n', ''], 'Cinematography': ['Derek Vanlint', '', ''], 'Edited by': ['Terry Rawlings', 'Peter Weatherley', '\n \n', ''], 'Music by': ['Jerry Goldsmith', '', ''], 'Production companies': ['', '', '20th Century Fox', 'Brandywine Productions'], 'Distributed by': ['20th Century Fox', '', ''], 'Release dates': ['May\xa025,\xa01979', ' (United States)', 'September\xa06,\xa01979', ' (United Kingdom)', '\n \n', ''], 'Running time': ['116 minutes', '', ''], 'Countries': ['United Kingdom', 'United States', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$11 million', '', ''], 'Box office': ['$184.7 million', '', '']}"
701,All the Real Girls,2003,115 Reviews,71,"5,000+ Ratings",78,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Romance/Drama, 1h 48m,"{'Directed by': ['David Gordon Green', '', ''], 'Screenplay by': ['David Gordon Green', '', ''], 'Story by': ['David Gordon Green ', 'Paul Schneider', '', ''], 'Produced by': [' ', 'Jean Doumanian', 'Lisa Muskat', '', ''], 'Starring': [' ', ' ', 'Patricia Clarkson', 'Zooey Deschanel', 'Paul Schneider', '', ''], 'Cinematography': ['Tim Orr', '', ''], 'Edited by': [' ', 'Zene Baker', 'Steven Gonzales', '', ''], 'Music by': ['Michael Linnen ', 'David Wingo', '', ''], 'Distributed by': ['Sony Pictures Classics', '', ''], 'Release dates': [' (', ')', 'limited', 'January\xa019,\xa02003', ' (', ')', 'February\xa014,\xa02003', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1 million ', '', ''], 'Box office': ['$579,986', '', '']}"
702,Alone Across Australia,2003,0 Reviews,,0 Ratings,,,2004, Documentary, 5h 52m,"{'Directed by': ['Ian Darling', 'Jon Muir', '', ''], 'Produced by': ['Ian Darling', 'Jon Muir', '', ''], 'Starring': ['Jon Muir', '', ''], 'Edited by': ['Sally Fryer', '', ''], 'Music by': ['Kim Green', '', ''], 'Release date': ['April\xa02004', ' (Full Frame Film Festival)', '\n \n', ''], 'Running time': ['52 minutes', '', ''], 'Country': ['Australia', '', ''], 'Language': ['English', '', '']}"
703,American Splendor,2003,187 Reviews,94,"25,000+ Ratings",86,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('hbo-max', 'Subscription'), ('itunes', 'Rent/buy')]",2003, Biography/Comedy, 1h 40m,"{'Directed by': ['Shari Springer Berman', 'Robert Pulcini', '', ''], 'Written by': ['Shari Springer Berman', 'Robert Pulcini', '', ''], 'Based on': ['by  by ', '', 'Harvey Pekar', 'Harvey Pekar', 'Joyce Brabner', 'Frank Stack'], 'Produced by': ['Christine Kunewa Walker', 'Julia King', 'Declan Baldwin', 'Ted Hope', '\n \n', ''], 'Starring': ['Paul Giamatti', 'Hope Davis', 'Judah Friedlander', '\n \n', ''], 'Cinematography': ['Terry Stacey', '', ''], 'Edited by': ['Robert Pulcini', '', ''], 'Music by': ['Mark Suozzo', '', ''], 'Production companies': [' ', 'Good Machine Dark Horse Entertainment'], 'Distributed by': [' ', 'Fine Line Features', 'HBO Films', '', ''], 'Release dates': ['January\xa020,\xa02003', ' (', ')', 'August\xa015,\xa02003', ' (United States)', 'Sundance', '\n \n', ''], 'Running time': ['101 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2 million', '', ''], 'Box office': ['$8.7 million', '', '']}"
704,American Wedding,2003,156 Reviews,53,"250,000+ Ratings",63,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Comedy, 1h 37m,"{'Directed by': ['Jesse Dylan', '', ''], 'Written by': ['Adam Herz', '', ''], 'Based on': ['Characters', 'by Adam Herz', '', ''], 'Produced by': ['Warren Zide', 'Craig Perry', 'Adam Herz', 'Chris Moore', 'Chris Bender', '', ''], 'Starring': ['Jason Biggs', 'Alyson Hannigan', 'January Jones', 'Thomas Ian Nicholas', 'Seann William Scott', 'Eddie Kaye Thomas', 'Fred Willard', 'Eugene Levy', '', ''], 'Cinematography': ['Lloyd Ahern', '', ''], 'Edited by': ['Stuart Pappé', '', ''], 'Music by': ['Christophe Beck', '', ''], 'Production companies': ['Zide/Perry Productions', 'LivePlanet'], 'Distributed by': ['Universal Pictures', '', ''], 'Release date': ['August\xa01,\xa02003', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$55 million', '', ''], 'Box office': ['$232.7 million', '', ''], 'Released': ['August 1, 2003', '', ''], '': ['/', 'Uptown', 'Universal', '', ''], 'Length': ['', '']}"
705,Ang Tanging Ina,2003,0 Reviews,,250+ Ratings,71,"[('amazon-prime-video-us', 'Rent/buy')]",2003, Comedy, 1h 35m,"{'Directed by': ['Joyce E. Bernal', '', ''], 'Screenplay by': ['Mel Mendoza del Rosario', 'Keiko Aquino', '', ''], 'Story by': ['Mel Mendoza del Rosario', '', ''], 'Produced by': ['Malou N. Santos', 'Charo Santos-Concio', '', ''], 'Starring': ['Ai-Ai delas Alas', 'John Estrada', 'Eugene Domingo', 'Roderick Paulate', 'Tuesday Vargas', '', ''], 'Cinematography': ['Sherman So', '', ''], 'Edited by': ['Vito Cajili', '', ''], 'Music by': ['Jesse Lasaten', '', ''], 'Production company': ['', 'Star Cinema'], 'Distributed by': ['Star Cinema', '', ''], 'Release date': ['May\xa028,\xa02003', '\n \n', ''], 'Running time': ['30-45 minutes', '', ''], 'Country': ['Philippines', '', ''], 'Language': ['Filipino', '', ''], 'Box office': ['', ''], 'Genre': [', ', 'Comedy', 'Drama', '', ''], 'Created by': ['ABS-CBN', '', ''], 'Country of origin': ['Philippines', '', ''], 'Original language': ['Filipino', '', ''], ' of episodes': ['77', '', ''], 'Original network': ['ABS-CBN', '', ''], 'Picture format': ['NTSC', '', ''], 'Original release': ['August 17, 2003', '\xa0–', 'January 30, 2005', '', '']}"
706,The Animatrix,2003,18 Reviews,89,"100,000+ Ratings",78,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Sci-fi/Action, 1h 42m,"{'Directed by': ['Andy Jones', 'Mahiro Maeda', 'Shinichirō Watanabe', 'Yoshiaki Kawajiri', 'Takeshi Koike', 'Kōji Morimoto', 'Peter Chung', '\n \n', ''], 'Written by': ['Mahiro Maeda', 'Shinichirō Watanabe', 'Yoshiaki Kawajiri', 'Kōji Morimoto', 'Peter Chung', 'The Wachowskis', '\n \n', ''], 'Produced by': ['The Wachowskis ', '', ''], 'Segment producers': ['Hiroaki Takeuchi', 'Michael Arias', 'Eiko Tanaka', '', ''], 'Music by': ['Don Davis', '', ''], 'Production companies': ['', '', 'NPV Entertainment', 'Village Roadshow Pictures'], 'Distributed by': ['Warner Home Video', '', ''], 'Release date': ['June\xa03,\xa02003', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Countries': ['United States', 'Japan', '\n \n', ''], 'Languages': ['English', 'Japanese', '\n \n', '']}"
707,Any Way the Wind Blows,2003,1 Reviews,,100+ Ratings,82,,2003, Comedy/Drama, 2h 7m,"{'Directed by': ['Tom Barman', '', ''], 'Written by': ['Tom Barman', '', ''], 'Produced by': ['Kaat Camerlynck', 'Christian Pierre', 'Alex Stockman', '', ''], 'Starring': ['Frank Vercruyssen', 'Diane De Belder', 'Eric Kloeck', '', ''], 'Music by': [' ', 'Magnus', 'Tom Barman', '', ''], 'Distributed by': ['Cinéart', '', ''], 'Release dates': ['May\xa02003', ' (Cannes)', '18\xa0June\xa02003', ' (Belgium)', '\n \n', ''], 'Running time': ['125 minutes', '', ''], 'Country': ['Belgium', '', ''], 'Languages': ['Dutch', 'French', 'English', '', '']}"
708,Anything Else,2003,137 Reviews,40,"10,000+ Ratings",44,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy')]",2003, Romance/Comedy, 1h 48m,"{'Directed by': ['Woody Allen', '', ''], 'Written by': ['Woody Allen', '', ''], 'Produced by': ['Letty Aronson', '', ''], 'Starring': ['Woody Allen', 'Jason Biggs', 'Stockard Channing', 'Danny DeVito', 'Jimmy Fallon', 'Erica Leerhsen', 'KaDee Strickland', 'Christina Ricci', '\n \n', ''], 'Narrated by': ['Jason Biggs', '', ''], 'Cinematography': ['Darius Khondji', '', ''], 'Edited by': ['Alisa Lepselter', '', ''], 'Distributed by': ['DreamWorks Pictures', '', ''], 'Release dates': ['August\xa027,\xa02003', ' (Venice Film Festival)', 'September\xa019,\xa02003', ' (theatrical (US))', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$18 million', '', ''], 'Box office': ['$13,585,075', '', '']}"
709,After the Life,2003,35 Reviews,91,500+ Ratings,77,,2002, Crime/Drama, 2h 0m,"{'Directed by': ['Lucas Belvaux', '', ''], 'Written by': ['Lucas Belvaux', '', ''], 'Produced by': ['Diana Elbaum', 'Patrick Sobelman', '', ''], 'Starring': ['Gilbert Melki', 'Dominique Blanc', 'Ornella Muti', '', ''], 'Cinematography': ['Pierre Milon', '', ''], 'Edited by': ['Danielle Anezin', '', ''], 'Music by': ['Riccardo del Fra', '', ''], 'Distributed by': ['Diaphana Films', '', ''], 'Release dates': ['12\xa0September\xa02002', ' (', ')', '8\xa0January\xa02003', ' (France)', '22\xa0January\xa02003', ' (Belgium)', 'TIFF', '\n \n', ''], 'Running time': ['124 minutes', '', ''], 'Countries': ['France', 'Belgium', '', ''], 'Language': ['French', '', ''], 'Budget': ['$2.3 million', '', ''], 'Box office': ['$1.2 million', '', '']}"
710,Arisan!,2003,0 Reviews,,250+ Ratings,90,,2003, Comedy/Lgbtq+, 2h 6m,"{'Directed by': ['Nia Dinata', '', ''], 'Written by': ['Nia Dinata', 'Joko Anwar', '', ''], 'Produced by': ['Sari Nirmolo', 'Dina Ponsen', 'Nia Dinata', 'Afi Shamara', '', ''], 'Starring': ['Cut Mini', 'Tora Sudiro', 'Surya Saputra', 'Aida Nurmala', 'Rachel Maryam', '', ''], 'Cinematography': ['Yudi Datau', '', ''], 'Edited by': ['Dewi S. Alibasah', '', ''], 'Music by': ['Andi Rianto', '', ''], 'Distributed by': ['Kalyana Shira Film', '', ''], 'Release date': ['10 December 2003', '', ''], 'Running time': ['129 minutes', '', ''], 'Country': ['Indonesia', '', ''], 'Language': ['Indonesian', '', ''], 'Budget': ['2 billion ', 'IDR', '', '']}"
711,At Five in the Afternoon,2003,0 Reviews,,0 Ratings,,,2003, Drama, 1h 46m,"{'Directed by': ['Samira Makhmalbaf', '', ''], 'Written by': ['Samira Makhmalbaf', 'Mohsen Makhmalbaf', '', ''], 'Produced by': ['Siamak Alagheband', 'Mohsen Makhmalbaf', '', ''], 'Starring': ['Abdolgani Yousefrazi', 'Razi Mohebi', 'Marzieh Amiri', 'Agheleh Rezaie', '', ''], 'Cinematography': ['Ebrahim Ghafori', 'Samira Makhmalbaf', '', ''], 'Edited by': ['Mohsen Makhmalbaf', '', ''], 'Music by': ['Mohammad Reza Darvishi', '', ''], 'Release dates': ['16\xa0May\xa02003', ' (', ')', '16\xa0April\xa02004', ' (UK)', 'Cannes', '\n \n', ''], 'Running time': ['105 minutes', '', ''], 'Countries': ['Iran', 'France', '', ''], 'Language': ['Dari Persian', '', '']}"
712,Baadasssss!,2003,109 Reviews,91,"2,500+ Ratings",84,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Drama, 1h 48m,"{'Directed by': ['Mario Van Peebles', '', ''], 'Written by': ['Mario Van Peebles', 'Dennis Haggerty', '', ''], 'Based on': ['by ', 'Melvin Van Peebles', '', ''], 'Produced by': ['Mario Van Peebles', '', ''], 'Starring': ['Mario Van Peebles', 'David Alan Grier', 'Nia Long', 'Rainn Wilson', 'Terry Crews', '', ''], 'Cinematography': ['Robert Primes', '', ''], 'Edited by': ['Anthony Miller', 'Nneka Goforth', '', ''], 'Music by': ['Tyler Bates', '', ''], 'Distributed by': ['Sony Pictures Classics', '', ''], 'Release dates': ['September\xa07,\xa02003', ' (Toronto International Film Festival)', 'May\xa028,\xa02004', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$365,727', '', ''], 'Released': ['June 1, 2004', '', ''], '': ['Barely Breaking Even', '', ''], 'Length': ['', '']}"
713,Bad Boys II,2003,185 Reviews,23,"250,000+ Ratings",78,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Action/Comedy, 2h 26m,"{'Directed by': ['Michael Bay', '', ''], 'Screenplay by': ['Ron Shelton', 'Jerry Stahl', '\n \n', ''], 'Story by': ['Ron Shelton', 'Cormac Wibberley', 'Marianne Wibberley', '\n \n', ''], 'Based on': ['Characters', 'by ', 'George Gallo', '', ''], 'Produced by': ['Jerry Bruckheimer', '', ''], 'Starring': ['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare', 'Theresa Randle', 'Joe Pantoliano', '\n \n', ''], 'Cinematography': ['Amir Mokri', '', ''], 'Edited by': ['Thomas A. Muldoon', 'Mark Goldblatt', 'Roger Barton', '\n \n', ''], 'Music by': ['Trevor Rabin', '', ''], 'Production companies': ['', '', 'Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films'], 'Distributed by': ['Sony Pictures Releasing', '', ''], 'Release date': ['July\xa018,\xa02003', '\n \n', ''], 'Running time': ['147 minutes', '', ''], 'Country': ['United States', '', ''], 'Languages': ['English', 'Spanish', 'Russian', '', ''], 'Budget': ['$130 million', '', ''], 'Box office': ['$273.3 million', '', '']}"
714,Bad Santa,2003,220 Reviews,78,"100,000+ Ratings",75,"[('amazon-prime-video-us', 'Rent/buy'), ('showtime', 'Subscription'), ('itunes', 'Rent/buy')]",2003, Holiday/Comedy, 1h 33m,"{'Directed by': ['Terry Zwigoff', '', ''], 'Written by': ['Glenn Ficarra', 'John Requa', '', ''], 'Story by': [' (uncredited)', 'Ethan and Joel Coen', '', ''], 'Produced by': ['John Cameron', 'Sarah Aubrey', 'Bob Weinstein', '', ''], 'Starring': ['Billy Bob Thornton', 'Tony Cox', 'Lauren Graham', 'Brett Kelly', 'Lauren Tom', 'John Ritter', 'Bernie Mac', '\n \n', ''], 'Cinematography': ['Jamie Anderson', '', ''], 'Edited by': ['Robert Hoffman', '', ''], 'Music by': ['David Kitay', '', ''], 'Production companies': ['', '', 'Triptych Pictures', 'Columbia Pictures', 'Dimension Films'], 'Distributed by': [' (North America)', ' (International)', 'Miramax Films', 'Columbia TriStar Film Distributors International', '', ''], 'Release date': ['November\xa026,\xa02003', '\n \n', ''], 'Running time': ['92 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$23 million', '', ''], 'Box office': ['$76.5 million', '', '']}"
715,Baghban,2003,1 Reviews,,"5,000+ Ratings",83,"[('hulu', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy')]",2003, Drama/Romance, 2h 50m,"{'Directed by': ['Ravi Chopra', '', ''], 'Written by': ['Achala Nagar', 'Satish Bhatnagar', 'Ram Govind', 'Shafiq Ansari', 'B. R. Chopra', '\n \n', ''], 'Produced by': ['B. R. Chopra', '', ''], 'Starring': ['Amitabh Bachchan', 'Hema Malini', 'Salman Khan', '\n \n', ''], 'Cinematography': ['Barun Mukherjee', '', ''], 'Edited by': ['Shailendra Doke', 'Godfrey Gonsalves', 'Shashi Mane', '\n \n', ''], 'Music by': ['Aadesh Shrivastava', 'Uttam Singh', '\n \n', ''], 'Production company': ['B. R. Films', ''], 'Release dates': ['2\xa0October\xa02003', ' (', ')', '3\xa0October\xa02003', ' (India)', 'Leeds International Film Festival', '\n \n', ''], 'Running time': ['181 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', ''], 'Budget': ['10 crore', '', ''], 'Box office': ['43.11 crore', '', ''], 'Released': ['23 August 2003', '', ''], '': ['Aadesh Shrivastava', '', ''], 'Length': ['', '']}"
716,Basic,2003,143 Reviews,21,"50,000+ Ratings",63,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Mystery & thriller/Drama, 1h 38m,"{'Directed by': ['John McTiernan', '', ''], 'Written by': ['James Vanderbilt', '', ''], 'Produced by': ['James Vanderbilt', 'Mike Medavoy', 'Michael Tadross', 'Dror Soref', '', ''], 'Starring': ['John Travolta', 'Connie Nielsen', 'Samuel L. Jackson', 'Giovanni Ribisi', 'Brian Van Holt', 'Taye Diggs', 'Cristián de la Fuente', 'Dash Mihok', 'Tim Daly', 'Roselyn Sánchez', 'Harry Connick Jr.', '\n \n', ''], 'Cinematography': ['Steve Mason', '', ''], 'Edited by': ['George Folsey Jr.', '', ''], 'Music by': ['Klaus Badelt', '', ''], 'Production companies': ['', '', 'Columbia Pictures', 'Intermedia Films', 'Phoenix Pictures'], 'Distributed by': [' (North America)', ' (Germany)', 'Sony Pictures Releasing', 'Constantin Film', '\n \n', ''], 'Release date': ['March\xa028,\xa02003', ' (United States)', '\n \n', ''], 'Running time': ['98 minutes', '', ''], 'Countries': ['United States', 'Germany', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$50 million', '', ''], 'Box office': ['$42.8 million', '', '']}"
717,Beautiful Boxer,2003,35 Reviews,83,"2,500+ Ratings",88,,2004, Drama/Lgbtq+, 1h 48m,"{'Directed by': ['Ekachai Uekrongtham', '', ''], 'Written by': ['Ekachai Uekrongtham', 'Desmond Sim', '', ''], 'Produced by': ['Ekachai Uekrongtham', '', ''], 'Starring': ['Asanee Suwan', 'Sorapong Chatree', '', ''], 'Cinematography': ['Choochart Nantitanyatada', '', ''], 'Music by': ['Amornbhong Methakunavudh', '', ''], 'Distributed by': [' ', 'GMM Pictures', 'Regent Releasing', 'TLA Releasing', '', ''], 'Release dates': ['November\xa028,\xa02003', ' (Thailand)', 'February\xa07,\xa02004', ' (', ')', 'Berlin', '\n \n', ''], 'Running time': ['118 minutes', '', ''], 'Country': ['Thailand', '', ''], 'Languages': ['Thai', 'English', 'Japanese', '', '']}"
718,Big Fish,2003,220 Reviews,75,"250,000+ Ratings",89,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2003, Drama, 2h 5m,"{'Directed by': ['Tim Burton', '', ''], 'Screenplay by': ['John August', '', ''], 'Based on': ['by ', 'Daniel Wallace', '', ''], 'Produced by': ['Richard D. Zanuck', 'Bruce Cohen', 'Dan Jinks', '', ''], 'Starring': ['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange', 'Helena Bonham Carter', 'Alison Lohman', 'Robert Guillaume', 'Marion Cotillard', 'Steve Buscemi', 'Danny DeVito', '\n \n', ''], 'Cinematography': ['Philippe Rousselot', '', ''], 'Edited by': ['Chris Lebenzon', '', ''], 'Music by': ['Danny Elfman', '', ''], 'Production companies': ['', '', 'Jinks/Cohen Company', 'Columbia Pictures', 'The Zanuck Company'], 'Distributed by': ['Sony Pictures Releasing', '', ''], 'Release dates': ['December\xa04,\xa02003', ' (', ')', 'December\xa010,\xa02003', ' (United States)', 'Hammerstein Ballroom', '\n \n', ''], 'Running time': ['125 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$70 million', '', ''], 'Box office': ['$123.2 million', '', '']}"
