,title,year,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length,infobox
10,Gun Shy,2000,43 Reviews,26,"5,000+ Ratings",36,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Comedy, 1h 42m,"{'Directed by': ['Eric Blakeney', '', ''], 'Written by': ['Eric Blakeney', '', ''], 'Produced by': ['Sandra Bullock', '', ''], 'Starring': ['Sandra Bullock', 'Liam Neeson', 'Oliver Platt', 'José Zúñiga', 'Richard Schiff', 'Mary McCormack', 'Mitch Pileggi', '\n \n', ''], 'Cinematography': ['Tom Richmond', '', ''], 'Edited by': ['Pamela Martin', '', ''], 'Music by': ['Rolfe Kent', '', ''], 'Production companies': ['', 'Hollywood Pictures Fortis Films'], 'Distributed by': ['Buena Vista Pictures Distribution', '', ''], 'Release date': ['February\xa04,\xa02000', '', ''], 'Running time': ['101 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$14 million', '', ''], 'Box office': ['$3 million', '', '']}"
11,Scream 3,2000,126 Reviews,41,"250,000+ Ratings",37,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Horror/Comedy, 1h 56m,"{'Directed by': ['Wes Craven', '', ''], 'Written by': ['Ehren Kruger', '', ''], 'Based on': ['by ', 'Characters', 'Kevin Williamson', '', ''], 'Produced by': ['Kevin Williamson', 'Cathy Konrad', 'Marianne Maddalena', '\n \n', ''], 'Starring': ['David Arquette', 'Neve Campbell', 'Courteney Cox Arquette', 'Patrick Dempsey', 'Jenny McCarthy', 'Parker Posey', 'Deon Richmond', '\n \n', ''], 'Cinematography': ['Peter Deming', '', ''], 'Edited by': ['Patrick Lussier', '', ''], 'Music by': ['Marco Beltrami', '', ''], 'Production companies': ['', '', 'Konrad Pictures', 'Craven/Maddalena Films'], 'Distributed by': ['Dimension Films', '', ''], 'Release dates': ['February\xa03,\xa02000', ' (', ')', 'February\xa04,\xa02000', ' (United States)', 'Westwood', '\n \n', ''], 'Running time': ['117 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$40', 'million', '', ''], 'Box office': ['$161.8', 'million', '', ''], 'Released': ['January 25, 2000', '', ''], 'Recorded': ['1997–1999', '', ''], '': ['\n', '\n', '', ''], 'Length': ['', '']}"
12,The Beach,2000,0 Reviews,,0 Ratings,,,2019, Drama, 2h 0m,"{'Directed by': ['Danny Boyle', '', ''], 'Screenplay by': ['John Hodge', '', ''], 'Based on': ['by ', 'Alex Garland', '', ''], 'Produced by': ['Andrew Macdonald', '', ''], 'Starring': ['Leonardo DiCaprio', 'Tilda Swinton', 'Virginie Ledoyen', 'Guillaume Canet', 'Robert Carlyle', '\n \n', ''], 'Cinematography': ['Darius Khondji', '', ''], 'Edited by': ['Masahiro Hirakubo', '', ''], 'Music by': ['Angelo Badalamenti', '', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['11 February 2000', '', ''], 'Running time': ['119 minutes', '', ''], 'Countries': ['United Kingdom', 'United States', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$50 million', '', ''], 'Box office': ['$144.1 million', '', ''], 'Released': ['February 21, 2000', '', ''], '': ['Pete Tong', '', ''], 'Length': ['', '']}"
13,Mary and Rhoda,2000,0 Reviews,,Fewer than 50 Ratings,60,,2000, Comedy/Drama, 1h 36m,"{'Genre': ['', ''], 'Based on': ['by ', 'Characters', 'James L. Brooks', 'Allan Burns', '', ''], 'Written by': ['Katie Ford', '', ''], 'Directed by': ['Barnet Kellman', '', ''], 'Starring': ['Mary Tyler Moore', 'Valerie Harper', 'Elon Gold', 'Christine Ebersole', 'Joie Lenz', 'Marisa Ryan', '', ''], 'Music by': ['David Kitay', '', ''], 'Opening theme': ['""', '"" by ', 'Love Is All Around', 'Joan Jett & the Blackhearts', '', ''], 'Country of origin': ['United States', '', ''], 'Original language': ['English', '', ''], 'Executive producers': ['Mary Tyler Moore', 'Susan B. Landau', '', ''], 'Producer': ['Cecilia Kate Roque', '', ''], 'Cinematography': ['Adam Holender', '', ''], 'Editor': ['Jeff Wishengrad', '', ''], 'Running time': ['86 minutes', '', ''], 'Production companies': ['Fox Television Studios', 'ABC', '', ''], 'Original network': ['ABC', '', ''], 'Original release': ['February\xa07,\xa02000', '', ''], 'Related': ['', '']}"
14,Snow Day,2000,66 Reviews,29,"25,000+ Ratings",27,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Subscription'), ('hbo-max', 'Subscription'), ('itunes', 'Rent/buy')]",2000, Kids & family/Comedy, 1h 29m,"{'Directed by': ['Chris Koch', '', ''], 'Written by': ['Will McRobb', 'Chris Viscardi', '\n \n', ''], 'Produced by': ['Julia Pistor', 'Albie Hecht', '\n \n', ''], 'Starring': ['Chris Elliott', 'Mark Webber', 'Jean Smart', 'Chevy Chase', '\n \n', ''], 'Cinematography': ['Robbie Greenberg', '', ''], 'Edited by': ['David Finfer', '', ''], 'Music by': ['Steve Bartek', '', ''], 'Production company': ['', 'Nickelodeon Movies'], 'Distributed by': ['Paramount Pictures', '', ''], 'Release date': ['February\xa011,\xa02000', ' (United States)', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$13 million', '', ''], 'Box office': ['$62.5 million', '', ''], 'Released': ['February\xa08,\xa02000', '', ''], 'Recorded': ['1999', '', ''], 'Length': ['', ''], '': ['Various artists', '', '']}"
15,The Tigger Movie,2000,73 Reviews,62,"50,000+ Ratings",62,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('disney-plus-us', 'Subscription'), ('itunes', 'Rent/buy')]",2000, Kids & family/Adventure, 1h 17m,"{'Directed by': ['Jun Falkenstein', '', ''], 'Screenplay by': ['Jun Falkenstein', '', ''], 'Story by': ['Eddie Guzelian', '', ''], 'Based on': ['Characters created', 'by ', 'A. A. Milne', '', ''], 'Produced by': ['Cheryl Abood', '', ''], 'Starring': ['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'John Fiedler', 'Peter Cullen', 'Andre Stojka', 'Kath Soucie', 'Tom Attenborough', '\n \n', ''], 'Narrated by': ['John Hurt', '', ''], 'Edited by': ['Makoto Arai', 'Robert Fisher, Jr.', '\n \n', ''], 'Music by': ['Harry Gregson-Williams', '', ''], 'Production companies': ['', '', 'Walt Disney Television Animation', 'Walt Disney Animation Japan', 'Walt Disney Pictures'], 'Distributed by': ['Buena Vista Pictures Distribution', '', ''], 'Release date': ['February 11, 2000', '', ''], 'Running time': ['78 minutes', '', ''], 'Countries': ['United States', 'Japan (animation services)', '', ''], 'Language': ['English', '', ''], 'Budget': ['$15 million', '–$30 million', '', ''], 'Box office': ['$96.2 million', '', '']}"
16,Beautiful People,2000,25 Reviews,80,500+ Ratings,85,,1999, Drama, 1h 47m,"{'Directed by': ['Jasmin Dizdar', '', ''], 'Written by': ['Jasmin Dizdar', '', ''], 'Produced by': ['Ben Gibson', 'Roger Shannon', 'Ben Woolford', '', ''], 'Starring': ['Heather Tobias', 'Danny Nussbaum', 'Charlotte Coleman', 'Charles Kay', 'Rosalind Ayres', 'Roger Sloman', '\n \n', ''], 'Cinematography': ['Barry Ackroyd', '', ''], 'Edited by': ['Justin Krish', '', ''], 'Music by': ['Garry Bell', 'Ghostland', 'Jasmin Dizdar', '', ''], 'Distributed by': ['Trimark Pictures', 'Channel Four Films', '', ''], 'Release dates': ['18\xa0May\xa01999', ' (', ')', '3\xa0March\xa02000', ' (United States, limited', ')', 'Cannes', '\n \n \n \n', ''], 'Running time': ['107 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}"
17,Hanging Up,2000,85 Reviews,12,"10,000+ Ratings",34,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Comedy/Drama, 1h 33m,"{'Directed by': ['Diane Keaton', '', ''], 'Screenplay by': ['Delia Ephron', 'Nora Ephron', '', ''], 'Based on': ['by Delia Ephron', '', ''], 'Produced by': ['Nora Ephron', 'Laurence Mark', '', ''], 'Starring': ['Diane Keaton', 'Meg Ryan', 'Lisa Kudrow', 'Walter Matthau', 'Adam Arkin', '\n \n', ''], 'Cinematography': ['Howard Atherton', '', ''], 'Edited by': ['Julie Monroe', '', ''], 'Music by': ['David Hirschfelder', '', ''], 'Distributed by': [' (through ', ')', 'Columbia Pictures', 'Sony Pictures Releasing', '', ''], 'Release date': ['February\xa018,\xa02000', '\n \n', ''], 'Running time': ['94 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$40 million', '', ''], 'Box office': ['$51 million', '', '']}"
18,Pitch Black,2000,113 Reviews,59,"250,000+ Ratings",77,"[('vudu', 'Rent/buy'), ('peacock', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Sci-fi/Horror, 1h 48m,"{'Directed by': ['David Twohy', '', ''], 'Screenplay by': ['David Twohy', 'Ken and Jim Wheat', '\n \n', ''], 'Story by': ['Ken and Jim Wheat', '\n \n', ''], 'Produced by': ['Tom Engelman', '', ''], 'Starring': ['Vin Diesel', 'Radha Mitchell', 'Cole Hauser', 'Keith David', '\n \n', ''], 'Cinematography': ['David Eggby', '', ''], 'Edited by': ['Rick Shaine', '', ''], 'Music by': ['Graeme Revell', '', ''], 'Production companies': ['', '', 'Gramercy Pictures', 'Interscope Communications'], 'Distributed by': [' (United States)', ' (International)', 'USA Films', 'Universal Pictures', '\n \n', ''], 'Release date': ['February\xa018,\xa02000', '\n \n', ''], 'Running time': ['104 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$23 million', '', ''], 'Box office': ['$53.2 million', '', '']}"
19,The Whole Nine Yards,2000,104 Reviews,43,"100,000+ Ratings",64,"[('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2000, Comedy, 1h 41m,"{'Directed by': ['Jonathan Lynn', '', ''], 'Written by': ['Mitchell Kapner', '', ''], 'Produced by': ['Allan Kaufman', 'David Willis', '', ''], 'Starring': ['Bruce Willis', 'Matthew Perry', 'Rosanna Arquette', 'Michael Clarke Duncan', 'Natasha Henstridge', 'Amanda Peet', 'Kevin Pollak', '\n \n', ''], 'Cinematography': ['David Franco', '', ''], 'Edited by': ['Tom Lewis', '', ''], 'Music by': ['Randy Edelman', '', ''], 'Production companies': ['Rational Packaging Lansdown Films', 'Morgan Creek Productions Franchise Pictures'], 'Distributed by': ['Warner Bros.', '', ''], 'Release date': ['February\xa018,\xa02000', '\n \n', ''], 'Running time': ['98 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$41.3 million', '', ''], 'Box office': ['$106.4 million', '', '']}"
