link,year
/wiki/The_14,1973
/wiki/Abhimaan_(1973_film),1973
/wiki/Ace_Eli_and_Rodger_of_the_Skies,1973
/wiki/The_Adventures_of_Rabbi_Jacob,1973
/wiki/All_Nudity_Shall_Be_Punished,1973
/wiki/The_Alpha_Caper,1973
/wiki/Alvin_Purple,1973
/wiki/Amarcord,1973
/wiki/American_Graffiti,1973
/wiki/Ana_and_the_Wolves,1973
/wiki/And_Now_the_Screaming_Starts!,1973
/wiki/Arnold_(film),1973
/wiki/Ashani_Sanket,1973
/wiki/The_Baby_(film),1973
/wiki/Badlands_(film),1973
/wiki/Bang_the_Drum_Slowly_(film),1973
/wiki/Bat_Pussy,1973
/wiki/Battle_for_the_Planet_of_the_Apes,1973
/wiki/Battles_Without_Honor_and_Humanity,1973
/wiki/Baxter!,1973
/wiki/Black_Caesar_(film),1973
/wiki/Black_Holiday,1973
/wiki/Blood_Brothers_(1973_film),1973
/wiki/Blood_in_the_Streets_(film),1973
/wiki/Blood_of_the_Dragon_(film),1973
/wiki/Blue_Blood_(1973_film),1973
/wiki/Blume_in_Love,1973
/wiki/Bobby_(1973_film),1973
/wiki/Book_of_Numbers_(film),1973
/wiki/Il_Boss,1973
/wiki/Breezy,1973
/wiki/A_Brief_Vacation,1973
/wiki/Brother_of_the_Wind,1973
/wiki/Cahill_U.S._Marshal,1973
/wiki/Can_Dialectics_Break_Bricks%3F,1973
/wiki/The_Candy_Snatchers,1973
/wiki/Charley_and_the_Angel,1973
/wiki/Charley_Varrick,1973
/wiki/Charlotte%27s_Web_(1973_film),1973
/wiki/Chino_(1973_film),1973
/wiki/Cinderella_Liberty,1973
/wiki/Class_of_%2744,1973
/wiki/Cleopatra_Jones,1973
/wiki/Coffy,1973
/wiki/Cops_and_Robbers_(1973_film),1973
/wiki/The_Crazies_(1973_film),1973
/wiki/The_Creeping_Flesh,1973
/wiki/Dark_Places_(1973_film),1973
/wiki/Day_for_Night_(film),1973
/wiki/The_Day_of_the_Dolphin,1973
/wiki/The_Day_of_the_Jackal_(film),1973
/wiki/The_Death_of_a_Lumberjack,1973
/wiki/A_Delicate_Balance_(film),1973
/wiki/The_Devil_in_Miss_Jones,1973
/wiki/Dillinger_(1973_film),1973
/wiki/A_Doll%27s_House_(1973_Garland_film),1973
/wiki/The_Don_Is_Dead,1973
/wiki/Don%27t_Be_Afraid_of_the_Dark_(1973_film),1973
/wiki/Don%27t_Look_Now,1973
/wiki/The_Earth_Is_a_Sinful_Song,1973
/wiki/Electra_Glide_in_Blue,1973
/wiki/Emperor_of_the_North_Pole,1973
/wiki/England_Made_Me_(film),1973
/wiki/Enter_the_Dragon,1973
/wiki/Executive_Action_(film),1973
/wiki/The_Exorcist,1973
/wiki/Fantastic_Planet,1973
"/wiki/F%C3%A9,_Esperanza_y_Caridad",1973
/wiki/The_Final_Programme_(film),1973
/wiki/Five_on_the_Black_Hand_Side,1973
/wiki/Forced_Entry_(1973_film),1973
/wiki/The_Friends_of_Eddie_Coyle,1973
/wiki/From_the_Mixed-Up_Files_of_Mrs._Basil_E._Frankweiler_(1973_film),1973
/wiki/Godspell_(film),1973
/wiki/Godzilla_vs._Megalon,1973
/wiki/La_Grande_Bouffe,1973
/wiki/The_Hare_Census_(film),1973
/wiki/The_Harrad_Experiment,1973
/wiki/Heavy_Traffic,1973
/wiki/Hell_Up_in_Harlem,1973
/wiki/High_Plains_Drifter,1973
/wiki/The_Hireling,1973
/wiki/Hitler:_The_Last_Ten_Days,1973
/wiki/The_Holy_Mountain_(1973_film),1973
/wiki/Home_Sweet_Home_(1973_film),1973
/wiki/The_Homecoming_(film),1973
/wiki/Garm_Hava,1973
/wiki/The_Hourglass_Sanatorium,1973
/wiki/The_House_in_Nightmare_Park,1973
/wiki/The_House_on_Chelouche_Street,1973
/wiki/Hugo_the_Hippo,1973
/wiki/The_Iceman_Cometh_(1973_film),1973
/wiki/Idaho_Transfer,1973
/wiki/Indian_Summer_(1973_film),1973
/wiki/Interval_(1973_film),1973
/wiki/L%27_Invitation,1973
/wiki/Ivan_Vasilievich:_Back_to_the_Future,1973
/wiki/Jesus_Christ_Superstar_(film),1973
/wiki/Jeremy_(film),1973
/wiki/Jonathan_Livingston_Seagull_(film),1973
/wiki/Kanashimi_no_Belladonna,1973
/wiki/Kid_Blue,1973
/wiki/Lady_Ice,1973
/wiki/Lady_Snowblood_(film),1973
/wiki/The_Last_American_Hero,1973
/wiki/The_Last_Detail,1973
/wiki/The_Last_of_Sheila,1973
/wiki/The_Laughing_Policeman_(film),1973
/wiki/The_Legend_of_Hell_House,1973
/wiki/The_Legend_of_Paul_and_Paula,1973
/wiki/Le_Magnifique,1973
/wiki/Little_Tiger_of_Canton,1973
/wiki/Live_and_Let_Die_(film),1973
/wiki/Lolly-Madonna_XXX,1973
/wiki/The_Long_Goodbye_(film),1973
/wiki/Lost_Horizon_(1973_film),1973
/wiki/Love_and_Anarchy,1973
/wiki/Love_and_Pain_and_the_Whole_Damn_Thing,1973
/wiki/The_Mackintosh_Man,1973
/wiki/Magnum_Force,1973
/wiki/Malizia_(1973_film),1973
/wiki/Manson_(film),1973
/wiki/Massacre_in_Rome,1973
/wiki/Maurie_(film),1973
/wiki/Mean_Streets,1973
/wiki/Zekra_Lailat_Hubb,1973
/wiki/The_Mother_and_the_Whore,1973
/wiki/My_Dear_Brother,1973
/wiki/My_Name_Is_Nobody,1973
/wiki/The_Neptune_Factor,1973
/wiki/Nefertiti_y_Aquenatos,1973
/wiki/The_No_Mercy_Man,1973
/wiki/Night_Flight_from_Moscow,1973
/wiki/Night_Watch_(1973_film),1973
/wiki/The_Night_Strangler_(film),1973
/wiki/The_Nutcracker_(1973_film),1973
/wiki/Oklahoma_Crude_(film),1973
/wiki/O_Lucky_Man!,1973
/wiki/The_Olsen_Gang_Goes_Crazy,1973
/wiki/The_Paper_Chase_(film),1973
/wiki/Paper_Moon_(film),1973
/wiki/Paperback_Hero_(1973_film),1973
/wiki/Papillon_(1973_film),1973
/wiki/Pat_Garrett_and_Billy_the_Kid,1973
/wiki/The_Pedestrian_(film),1973
/wiki/Property_Is_No_Longer_a_Theft,1973
/wiki/The_Pyx,1973
/wiki/Resurrection_of_Eve,1973
/wiki/El_Retorno_de_Walpurgis,1973
/wiki/Robin_Hood_(1973_film),1973
/wiki/Save_the_Tiger,1973
/wiki/Scarecrow_(1973_film),1973
/wiki/Scenes_from_a_Marriage,1973
/wiki/Scorpio_(film),1973
/wiki/Scream_Blacula_Scream,1973
/wiki/Serpico,1973
/wiki/The_Seven_Madmen,1973
/wiki/The_Seven-Ups,1973
/wiki/Shamus_(film),1973
/wiki/Showdown_(1973_film),1973
/wiki/Sisters_(1973_film),1973
/wiki/Slaughter%27s_Big_Rip-Off,1973
/wiki/Sleeper_(1973_film),1973
/wiki/Slither_(1973_film),1973
/wiki/The_Society_of_the_Spectacle_(film),1973
/wiki/Son_of_Zorro,1973
/wiki/Soul_Hustler,1973
/wiki/Soylent_Green,1973
/wiki/The_Spirit_of_the_Beehive,1973
/wiki/Stateline_Motel,1973
/wiki/Steelyard_Blues,1973
/wiki/Steptoe_and_Son_Ride_Again,1973
/wiki/The_Sting,1973
/wiki/The_Stone_Killer,1973
/wiki/Super_Fly_T.N.T.,1973
/wiki/Superdad,1973
